Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 Wimbledon R32,L vs Muchova,98.3,101.8,3.8,103.6,99.9,108,91,90.8,5.5,86.0,,102,74
2019 Wimbledon R64,W vs Watson,95.6,103.1,3.5,105.0,100.6,111,95,84.8,7.1,88.0,94.0,98,72
2018 US Open R128,L vs Siniakova,88.8,95.5,5.5,100.2,91.7,104,84,79.9,5.1,84.1,81.0,96,68
2018 Wimbledon R32,L vs Van Uytvanck,93.9,99.8,4.3,101.9,97.1,105,86,82.8,5.5,93.0,80.3,93,75
2017 Wimbledon R32,L vs Wozniacki,95.7,97.4,3.5,99.2,96.1,105,88,91.3,3.5,92.4,90.3,98,85
2016 Roland Garros R128,L vs Williams,93.6,98.0,3.9,,,105,88,86.5,3.3,,,92,80
2016 Australian Open R128,L vs Muguruza,98.0,103.0,2.6,,,107,95,89.4,3.9,,,97,83
2015 US Open R16,L vs Williams,96.3,101.5,2.8,,,106,98,86.0,4.3,,,94,79
2015 US Open R32,W vs Brengle,93.1,101.3,3.7,,,106,87,82.1,3.2,,,89,77
2015 US Open R64,W vs Pavlyuchenkova,91.8,98.8,4.9,,,107,86,83.1,3.4,,,90,78
2015 Wimbledon R128,L vs Azarenka,95.0,99.3,3.4,,,106,93,86.7,2.8,,,91,82
Career (11 matches),,94.1,99.4,4.0,101.7,96.6,111,84,85.0,4.4,88.8,86.2,102,68
