Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 Wimbledon R128,W vs Stefanini,23.3%,42.5%,50.0%,35.0%,52.5%,38.5%,34.8%,35.3%,33.3%,10.3%,34.5%,61.5%,54.5%,16.7%,0.0%,-14
2023 Roland Garros R128,L vs Pera,25.0%,31.3%,35.6%,32.5%,42.5%,44.4%,55.0%,70.0%,100.0%,14.3%,14.3%,22.2%,71.4%,42.9%,100.0%,25
2023 Australian Open R64,L vs Linette,25.3%,33.3%,48.1%,28.3%,35.8%,47.4%,40.0%,54.5%,66.7%,22.2%,33.3%,50.0%,36.4%,28.6%,-,90
2023 Australian Open R128,W vs Grabher,43.1%,51.7%,40.6%,51.2%,61.0%,35.0%,33.3%,52.2%,100.0%,25.0%,31.3%,50.0%,57.1%,22.2%,-,-33
2022 Ostrava R16,L vs Martincova,16.3%,26.5%,45.0%,17.6%,29.4%,57.1%,58.8%,82.4%,50.0%,14.3%,21.4%,16.7%,60.0%,44.4%,50.0%,-23
2022 Tallinn F,L vs Krejcikova,22.7%,30.3%,31.3%,28.9%,42.1%,40.7%,50.0%,55.6%,50.0%,16.0%,16.0%,19.0%,58.3%,53.8%,100.0%,25
2022 US Open R64,L vs Williams,25.7%,34.7%,47.1%,31.7%,43.3%,56.1%,38.5%,35.3%,50.0%,19.4%,25.0%,34.5%,22.2%,11.1%,0.0%,43
2022 Prague QF,L vs Potapova,13.3%,22.2%,33.3%,18.5%,29.6%,31.8%,42.9%,46.2%,50.0%,6.7%,13.3%,35.7%,71.4%,62.5%,0.0%,-51
2022 Hamburg F,L vs Pera,18.8%,33.3%,47.4%,18.2%,33.3%,51.9%,33.3%,46.7%,50.0%,21.4%,35.7%,36.4%,50.0%,10.0%,0.0%,-23
2022 Wimbledon R64,L vs Niemeier,31.7%,43.9%,37.5%,28.6%,47.6%,40.0%,66.7%,50.0%,100.0%,43.8%,50.0%,33.3%,62.5%,37.5%,-,137
2022 Stuttgart QF,L vs Sabalenka,29.1%,39.5%,39.0%,32.1%,48.2%,44.7%,59.4%,54.2%,71.4%,25.0%,25.0%,28.6%,77.8%,57.9%,50.0%,-23
2022 Doha F,L vs Swiatek,9.1%,15.9%,30.0%,9.1%,18.2%,36.7%,43.8%,35.3%,60.0%,9.1%,9.1%,10.0%,28.6%,50.0%,50.0%,-104
2022 Doha SF,W vs Ostapenko,46.7%,46.7%,35.5%,54.1%,54.1%,29.4%,40.0%,54.5%,0.0%,36.4%,36.4%,42.9%,58.3%,30.0%,0.0%,-51
2022 Doha QF,W vs Jabeur,36.7%,42.9%,65.5%,37.5%,43.8%,60.0%,35.7%,44.4%,-,40.0%,46.7%,77.8%,33.3%,44.4%,0.0%,38
2022 Doha R16,W vs Mertens,24.7%,34.2%,50.9%,24.4%,41.5%,58.1%,56.5%,55.6%,0.0%,26.7%,26.7%,40.9%,36.4%,52.6%,33.3%,-28
2022 Doha R32,W vs Konjuh,21.2%,36.5%,49.2%,27.1%,50.0%,57.1%,28.6%,44.4%,75.0%,15.2%,21.2%,39.3%,11.1%,46.7%,33.3%,27
2022 St Petersburg F,W vs Sakkari,16.7%,27.5%,53.7%,19.2%,37.0%,61.0%,37.1%,60.5%,75.0%,14.3%,14.3%,41.7%,10.5%,56.5%,50.0%,-23
2022 St Petersburg SF,W vs Ostapenko,40.0%,42.0%,32.1%,48.6%,51.4%,38.9%,37.5%,26.3%,100.0%,23.1%,23.1%,20.0%,0.0%,57.1%,0.0%,57
2022 St Petersburg QF,W vs Bencic,35.1%,41.9%,46.5%,34.9%,46.5%,50.0%,21.4%,37.9%,25.0%,42.3%,42.3%,40.0%,53.8%,38.5%,0.0%,91
2022 St Petersburg R16,W vs Cirstea,23.2%,36.2%,58.8%,19.6%,37.0%,62.2%,47.8%,34.8%,50.0%,33.3%,38.1%,50.0%,50.0%,20.0%,0.0%,1
Last 52 Weeks (2 matches),,24.1%,37.2%,43.3%,33.8%,47.5%,41.5%,44.2%,54.1%,71.4%,12.0%,26.0%,45.5%,61.1%,28.1%,50.0%,2
Career (90 matches),,23.4%,33.5%,47.4%,27.3%,40.5%,51.0%,44.9%,48.6%,51.9%,18.9%,24.4%,41.3%,34.4%,34.0%,30.3%,24
