Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2022,416,106,129,1650,85,1666,101,1634,84,1595,,,,
2021,114,658,74,1737,63,1716,65,1702,62,1640,,,,
2020,98,729,53,1764,38,1758,42,1730,,,,,,
2019,79,665,53,1791,45,1766,44,1758,50,1671,288,180,,
2018,34,1125,27,1848,29,1796,25,1814,30,1726,176,360,,
2017,29,1440,26,1900,28,1830,20,1861,27,1764,555,90,,
2016,32,1325,41,1825,46,1753,28,1849,27,1784,167,450,98,1580
2015,34,1185,20,1921,25,1833,15,1898,20,1814,563,100,,
2014,24,1415,25,1891,27,1818,22,1855,19,1808,288,230,95,1570
2013,22,1525,24,1904,23,1834,24,1860,14,1822,138,520,97,1581
2012,20,1770,32,1874,36,1795,29,1819,12,1836,328,195,,
2011,43,960,37,1857,38,1799,34,1802,17,1800,164,455,86,1616
2010,34,1215,28,1893,28,1821,23,1854,14,1806,197,370,64,1644
2009,27,1260,30,1880,35,1795,25,1850,19,1796,74,1020,14,1807
2008,28,1115,19,1917,21,1839,23,1849,21,1791,53,1085,23,1772
2007,32,905,34,1860,37,1776,31,1814,35,1721,139,390,86,1570
2006,62,631,64,1756,67,1689,64,1702,50,1661,148,365,,
2005,86,470,117,1656,111,1601,100,1625,75,1602,124,425,109,1491
2004,88,466,148,1598,147,1542,115,1606,,,346,124,,
2003,208,171,233,1509,183,1495,250,1427,,,803,29,,
2002,247,118,304,1381,,,289,1332,,,1290,6,,
2001,759,14,,,,,,,,,582,52,,
2000,1332,1,,,,,,,,,1466,1,,
1999,1298,1,,,,,,,,,1357,1,,
1998,,,,,,,,,,,1384,1,,
