Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Biella CH R16,L vs Lorenzi,19.7%,23.0%,41.2%,22.3%,32.3%,38.7%,47.6%,37.4%,25.0%,73.3%,-,13.3%,13.3%,30.8%,4
2018 Montevideo CH F,L vs Pella,10.4%,15.6%,49.1%,13.1%,12.5%,20.0%,51.4%,17.8%,60.0%,30.0%,50.0%,12.0%,16.0%,45.5%,4
2018 Banja Luka CH F,L vs Giannessi,12.7%,20.0%,56.7%,17.7%,17.9%,25.4%,61.8%,26.1%,73.3%,16.2%,0.0%,5.4%,13.5%,48.6%,-67
2018 Panama City CH F,W vs Rola,13.5%,17.3%,62.2%,13.5%,17.9%,17.9%,65.2%,17.9%,76.5%,27.3%,25.0%,8.3%,16.7%,59.1%,-79
2017 Buenos Aires R32,W vs Kovalik,23.4%,29.7%,51.1%,25.0%,35.0%,40.0%,53.8%,37.5%,40.0%,95.0%,100.0%,5.0%,15.0%,47.4%,-72
2015 Montevideo CH R32,W vs Acosta,30.6%,47.2%,62.5%,37.8%,41.7%,58.3%,50.0%,52.5%,41.7%,58.3%,-,9.1%,27.3%,80.0%,-26
2015 Porto Alegre CH SF,L vs Schwartzman,13.3%,16.3%,54.3%,17.9%,20.0%,25.0%,66.7%,27.5%,44.4%,57.6%,0.0%,2.9%,2.9%,36.4%,-89
2015 Casablanca R16,L vs Almagro,24.4%,30.8%,57.1%,30.8%,39.1%,47.8%,64.3%,50.0%,27.3%,58.3%,66.7%,3.4%,6.9%,50.0%,-84
2015 Casablanca R32,W vs Carreno Busta,19.5%,25.4%,53.8%,27.0%,28.0%,37.3%,64.8%,39.9%,58.6%,60.9%,100.0%,4.9%,4.9%,38.5%,-67
2013 Bastad F,W vs Verdasco,25.9%,31.0%,56.1%,31.7%,34.1%,38.6%,62.1%,41.8%,23.8%,17.4%,0.0%,0.0%,8.3%,41.7%,-118
2012 Rome R32,L vs Federer,24.4%,31.1%,53.3%,29.3%,28.1%,34.4%,60.9%,35.0%,6.7%,76.5%,66.7%,22.2%,33.3%,28.6%,51
Career (11 matches),,18.6%,24.5%,54.4%,23.2%,26.9%,33.9%,60.4%,34.5%,45.9%,50.4%,48.1%,6.6%,11.7%,45.4%,-53
