Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,86,28,58,32.6%,72-143,33.5%,911-1141,44.4%,16-23,41.0%,84,68.3%,20.4%,4.9%,4.0%,61.6%,66.4%,46.1%,58.6%,36.4%,47.5%,0.88
Clay,219,102,117,46.6%,260-276,48.5%,2544-2531,50.1%,33-26,55.9%,204,71.0%,28.7%,3.5%,2.9%,65.5%,65.1%,49.8%,59.8%,40.5%,50.1%,1.01
Grass,24,6,18,25.0%,18-47,27.7%,281-356,44.1%,1-9,10.0%,24,74.8%,14.6%,6.8%,3.6%,63.8%,69.7%,45.4%,60.9%,31.8%,47.1%,0.81
Grand Slams,45,10,35,22.2%,43-114,27.4%,647-860,42.9%,9-17,34.6%,45,67.1%,19.1%,4.5%,3.1%,63.9%,64.5%,46.7%,58.0%,35.6%,46.9%,0.85
Masters,38,15,23,39.5%,34-47,42.0%,359-401,47.2%,4-5,44.4%,38,68.7%,25.1%,4.1%,3.8%,63.5%,65.7%,45.5%,58.3%,38.8%,48.6%,0.93
Other Tours,233,104,129,44.6%,249-281,47.0%,2508-2548,49.6%,36-34,51.4%,227,71.9%,27.0%,4.1%,3.3%,64.6%,66.4%,49.1%,60.3%,39.5%,49.9%,0.99
Best of 5,57,16,41,28.1%,65-138,32.0%,857-1073,44.4%,10-19,34.5%,47,67.4%,19.6%,4.5%,3.1%,63.7%,64.5%,47.1%,58.2%,35.9%,47.1%,0.86
Best of 3,272,120,152,44.1%,285-328,46.5%,2879-2955,49.3%,40-39,50.6%,265,71.5%,26.8%,4.1%,3.3%,64.5%,66.3%,48.6%,60.0%,39.4%,49.7%,0.99
Finals,3,2,1,66.7%,5-3,62.5%,37-36,50.7%,1-0,100.0%,3,65.7%,35.1%,1.8%,4.1%,71.8%,62.7%,46.8%,58.2%,44.3%,50.4%,1.06
Semi-finals,9,3,6,33.3%,9-13,40.9%,108-113,48.9%,2-3,40.0%,9,65.7%,32.4%,3.1%,3.2%,69.1%,65.8%,40.9%,58.1%,40.7%,49.7%,0.97
Quarter-finals,23,9,14,39.1%,20-29,40.8%,216-242,47.2%,0-1,0.0%,21,67.6%,27.0%,4.3%,3.2%,64.5%,63.6%,47.5%,57.9%,38.8%,48.5%,0.92
vs Righties,281,113,168,40.2%,296-412,41.8%,3201-3526,47.6%,43-50,46.2%,264,70.0%,24.5%,4.1%,3.3%,64.9%,65.6%,47.7%,59.3%,38.4%,48.8%,0.94
vs Lefties,46,21,25,45.7%,50-54,48.1%,511-499,50.6%,7-8,46.7%,46,73.9%,27.8%,5.1%,3.4%,61.0%,67.4%,51.1%,61.0%,39.8%,50.5%,1.02
vs Top 10,26,3,23,11.5%,13-53,19.7%,223-378,37.1%,2-4,33.3%,24,56.0%,17.6%,3.6%,4.0%,66.0%,60.8%,38.3%,53.2%,34.7%,44.3%,0.74
