Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2018 US Open R128,L vs Raonic,98.9,103.9,9.0,109.4,99.0,119,69,85.1,5.3,89.4,85.6,94,72
2017 Australian Open R64,L vs Gasquet,94.0,103.3,11.2,113.2,99.4,120,81,83.5,5.0,,82.0,95,74
2016 Roland Garros R64,L vs Goffin,103.3,107.4,7.3,,,121,89,92.0,5.0,,,100,80
2015 Roland Garros R64,L vs Gasquet,100.6,111.0,12.5,,,128,62,87.4,5.2,,,98,74
2014 US Open R128,L vs Sela,104.4,115.9,10.8,,,128,90,88.8,6.8,,,100,72
2014 Roland Garros R64,L vs Gasquet,100.9,105.0,10.0,,,123,87,85.9,5.1,,,96,78
2014 Roland Garros R128,W vs Hewitt,93.1,94.4,10.7,,,123,73,86.0,8.2,,,101,71
2013 US Open R64,L vs Federer,99.8,,,,,121,,,,,,,82
2013 US Open R128,W vs Giraldo,102.6,,,,,127,,,,,,,75
2013 Wimbledon R128,L vs Raonic,98.1,,,,,122,,,,,,,77
2013 Roland Garros R128,L vs Isner,104.2,,,,,121,,,,,,,77
2013 Australian Open R64,L vs Nishikori,107.5,,,,,128,,,,,,,79
2012 US Open R128,L vs Tomic,107.5,,,,,128,,,,,,,83
2011 US Open R64,L vs Djokovic,106.8,114.2,9.4,,,129,87,86.6,5.0,,,92,75
Career (14 matches),,101.4,105.8,10.1,110.4,99.1,129,62,87.0,5.7,89.4,85.0,101,71
