Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,26,12,14,46.2%,29-32,47.5%,316-319,49.8%,10-8,55.6%,26,82.2%,16.7%,11.2%,3.4%,63.0%,74.5%,50.6%,65.6%,33.4%,49.5%,0.97,F (Lille)
2023,50,30,20,60.0%,72-50,59.0%,652-587,52.6%,13-14,48.1%,50,85.0%,20.3%,10.8%,3.3%,63.4%,77.0%,52.5%,68.1%,36.3%,51.8%,1.14,W (Oeiras 1)
2022,12,4,8,33.3%,12-15,44.4%,121-135,47.3%,5-0,100.0%,12,70.1%,22.7%,6.3%,3.5%,63.9%,66.3%,49.7%,60.3%,37.7%,49.0%,0.95,R16 (4x)
2021,6,1,5,16.7%,6-10,37.5%,72-87,45.3%,0-0,-,6,70.5%,21.0%,8.1%,4.5%,62.4%,66.5%,49.5%,60.1%,37.0%,48.5%,0.93,R16 (Helsinki)
2018,21,10,11,47.6%,22-28,44.0%,226-253,47.2%,3-4,42.9%,21,75.6%,19.4%,10.8%,3.4%,63.6%,73.9%,47.1%,64.2%,35.3%,49.5%,0.99,SF (Lexington)
2017,29,16,13,55.2%,35-28,55.6%,320-298,51.8%,7-6,53.8%,29,81.5%,22.0%,9.9%,3.9%,64.3%,74.0%,48.5%,64.8%,36.9%,50.8%,1.05,SF (2x)
2016,34,17,17,50.0%,40-39,50.6%,405-401,50.2%,10-8,55.6%,34,75.8%,24.0%,9.4%,4.2%,56.5%,73.6%,47.6%,62.3%,37.6%,50.2%,1.00,F (St Remy de Provence)
2015,5,2,3,40.0%,6-7,46.2%,59-58,50.4%,1-1,50.0%,5,73.7%,27.6%,4.7%,2.8%,65.9%,71.2%,45.1%,62.3%,38.4%,50.6%,1.02,R16 (2x)
2014,4,3,1,75.0%,5-3,62.5%,41-36,53.2%,1-0,100.0%,4,79.5%,29.5%,9.6%,6.0%,52.3%,75.3%,47.9%,62.3%,43.1%,52.7%,1.14,SF (Mohammedia)
Career,187,95,92,50.8%,227-212,51.7%,2212-2174,50.4%,50-41,54.9%,187,79.6%,21.2%,9.9%,3.7%,62.0%,74.0%,49.5%,64.7%,36.4%,50.5%,1.03,
