Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2022 Andorra R16,W vs Charaeva,67.3%,63.6%,10.2%,2/3,2.58,5.6%,78.8%,61.5%,3.0%,2.69,14.3%,77.8%,71.4%,44.4%,2.51,0.0%
2022 ITF Bonita Springs Q1,L vs Shibahara,54.4%,64.5%,5.3%,2/1,2.38,20.7%,64.7%,59.1%,2.9%,2.83,42.9%,64.3%,77.8%,14.3%,1.96,0.0%
2019 Wimbledon Q3,L vs Pattinama Kerkhove,71.3%,56.7%,4.3%,2/2,2.21,0.0%,69.8%,47.7%,4.8%,2.41,0.0%,82.1%,73.9%,3.6%,1.99,0.0%
2018 Taipei 125K F,L vs Kumkhum,50.0%,30.0%,12.5%,2/3,2.47,13.9%,60.7%,23.5%,10.7%,2.48,25.0%,27.3%,66.7%,18.2%,2.45,0.0%
2017 Luxembourg R32,W vs Buzarnescu,50.0%,56.4%,6.4%,4/1,2.45,26.2%,64.9%,54.2%,8.1%,2.41,33.3%,62.5%,60.0%,8.3%,2.52,16.0%
2016 Wimbledon R32,L vs Shvedova,59.4%,39.5%,3.1%,1/1,2.49,2.9%,60.0%,28.6%,5.7%,2.45,6.3%,73.9%,52.9%,0.0%,2.53,0.0%
2015 US Open R16,L vs Halep,77.0%,56.3%,3.5%,4/0,2.43,4.9%,81.7%,53.7%,1.2%,2.32,6.4%,80.0%,65.0%,12.0%,2.58,2.9%
2015 Wimbledon R32,L vs Bacsinszky,71.4%,47.5%,3.6%,1/1,2.09,38.9%,70.7%,37.9%,2.4%,1.83,73.7%,73.3%,72.7%,6.7%,2.38,0.0%
2015 Birmingham R32,W vs Bencic,61.3%,60.5%,1.6%,0/1,2.43,10.0%,67.6%,56.5%,0.0%,2.20,0.0%,60.0%,66.7%,4.0%,2.62,18.8%
2015 Stuttgart R32,L vs Diyas,76.6%,41.7%,8.5%,3/1,2.71,0.0%,82.4%,42.9%,11.8%,2.71,0.0%,72.7%,37.5%,0.0%,2.71,0.0%
2015 Fed Cup RR,L vs Pavlyuchenkova,59.8%,51.4%,6.0%,7/0,2.42,4.8%,63.2%,48.8%,2.9%,2.25,8.8%,75.0%,55.6%,13.9%,2.62,0.0%
2015 Miami QF,L vs Williams,67.0%,57.6%,12.5%,10/1,2.06,0.0%,55.0%,72.7%,15.0%,2.09,0.0%,88.1%,48.6%,11.9%,2.00,0.0%
2015 Indian Wells SF,L vs Jankovic,73.4%,50.0%,3.8%,2/1,2.20,4.7%,84.4%,47.4%,4.4%,2.34,7.0%,71.4%,55.0%,3.6%,1.90,0.0%
2015 Dubai R32,W vs Niculescu,82.6%,53.5%,0.0%,0/0,2.49,61.3%,85.5%,47.2%,0.0%,2.52,91.7%,85.7%,72.2%,0.0%,2.47,42.1%
2015 Brisbane R32,L vs Shvedova,70.9%,59.0%,9.3%,5/3,2.71,7.1%,67.2%,53.7%,3.3%,2.57,13.3%,83.3%,70.0%,25.0%,2.87,0.0%
2014 Luxembourg R16,L vs Allertova,68.9%,54.8%,6.6%,4/0,2.30,5.4%,64.3%,48.1%,2.4%,2.37,13.3%,83.3%,66.7%,16.7%,2.25,0.0%
2014 Beijing R64,W vs Xu,69.5%,64.9%,2.4%,1/1,2.54,17.6%,76.1%,60.0%,0.0%,2.48,33.3%,68.8%,72.7%,6.3%,2.62,0.0%
2014 Cincinnati R16,L vs Radwanska,64.7%,31.8%,11.8%,4/0,2.22,2.9%,66.7%,21.4%,4.8%,2.06,5.6%,72.7%,50.0%,27.3%,2.38,0.0%
2014 Wimbledon QF,L vs Halep,60.0%,46.7%,10.0%,5/0,2.51,5.0%,56.0%,35.7%,0.0%,2.01,10.5%,72.7%,56.3%,22.7%,2.96,0.0%
2014 Madrid R16,L vs Halep,76.3%,48.6%,4.1%,4/0,2.48,2.7%,75.5%,35.0%,1.9%,2.55,5.6%,82.9%,64.7%,7.3%,2.41,0.0%
Career (35 matches),,67.2%,53.0%,6.2%,61.8%,2.39,10.8%,70.6%,48.6%,4.2%,2.33,16.6%,75.5%,61.7%,11.9%,2.47,3.3%
