Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2022 Andorra R16,W vs Charaeva,36.1%,54.1%,50.0%,46.2%,65.4%,50.0%,50.0%,50.0%,-,31.3%,50.0%,50.0%,47.1%,53.3%,50.0%,0
2022 ITF Bonita Springs Q1,L vs Shibahara,42.2%,51.6%,41.4%,53.3%,63.3%,42.9%,38.5%,41.2%,-,42.3%,53.8%,40.0%,36.4%,60.0%,100.0%,-18
2019 Wimbledon Q3,L vs Pattinama Kerkhove,28.4%,40.5%,50.0%,37.5%,52.5%,36.0%,52.4%,47.4%,50.0%,20.7%,31.0%,65.2%,33.3%,45.0%,100.0%,73
2018 Taipei 125K F,L vs Kumkhum,25.5%,39.2%,38.9%,37.5%,50.0%,30.0%,46.2%,42.1%,0.0%,5.9%,23.5%,50.0%,33.3%,62.5%,0.0%,-58
2017 Luxembourg R32,W vs Buzarnescu,20.0%,34.0%,45.2%,26.0%,46.0%,45.9%,45.5%,39.3%,16.7%,21.9%,34.4%,44.0%,61.5%,31.6%,20.0%,88
2016 Wimbledon R32,L vs Shvedova,33.9%,41.9%,29.4%,52.9%,55.9%,25.0%,52.9%,23.5%,33.3%,14.3%,33.3%,33.3%,60.0%,18.2%,0.0%,5
2015 US Open R16,L vs Halep,16.8%,23.4%,36.1%,19.7%,31.1%,38.8%,35.5%,33.3%,66.7%,15.0%,15.0%,32.4%,44.4%,36.4%,0.0%,31
2015 Wimbledon R32,L vs Bacsinszky,30.4%,41.1%,33.3%,38.7%,58.1%,42.1%,37.5%,13.3%,0.0%,22.7%,22.7%,23.5%,44.4%,0.0%,0.0%,41
2015 Birmingham R32,W vs Bencic,51.9%,59.7%,38.7%,71.4%,77.6%,50.0%,38.5%,39.1%,20.0%,22.7%,36.4%,29.4%,50.0%,43.8%,0.0%,87
2015 Stuttgart R32,L vs Diyas,4.0%,14.0%,39.0%,3.4%,17.2%,39.3%,64.3%,6.7%,0.0%,7.1%,14.3%,38.5%,33.3%,12.5%,0.0%,-64
2015 Fed Cup RR,L vs Pavlyuchenkova,25.8%,38.7%,47.6%,39.3%,57.1%,44.1%,48.0%,38.7%,25.0%,6.5%,12.9%,51.7%,20.0%,50.0%,-,-56
2015 Miami QF,L vs Williams,27.6%,35.6%,44.8%,37.3%,45.8%,48.6%,48.1%,43.8%,0.0%,8.7%,17.4%,38.1%,62.5%,13.3%,0.0%,-36
2015 Indian Wells SF,L vs Jankovic,22.5%,27.0%,34.4%,25.9%,29.3%,37.2%,61.5%,28.1%,66.7%,19.2%,26.9%,28.6%,53.8%,0.0%,0.0%,67
2015 Dubai R32,W vs Niculescu,38.1%,46.0%,58.1%,64.7%,73.5%,50.0%,50.0%,35.0%,-,9.5%,19.0%,63.2%,70.0%,18.2%,-,-39
2015 Brisbane R32,L vs Shvedova,29.9%,49.4%,50.9%,38.0%,60.0%,54.8%,54.2%,23.1%,33.3%,21.2%,39.4%,46.2%,31.3%,23.5%,0.0%,27
2014 Luxembourg R16,L vs Allertova,28.3%,31.7%,27.0%,44.4%,48.1%,26.7%,44.4%,27.8%,0.0%,18.5%,22.2%,27.3%,12.5%,63.6%,100.0%,56
2014 Beijing R64,W vs Xu,40.3%,56.7%,55.9%,53.8%,76.9%,72.2%,78.9%,45.0%,0.0%,27.3%,36.4%,37.5%,57.1%,26.7%,50.0%,128
2014 Cincinnati R16,L vs Radwanska,12.5%,18.8%,31.4%,21.7%,30.4%,38.9%,63.6%,16.7%,0.0%,5.6%,11.1%,23.5%,40.0%,25.0%,50.0%,-73
2014 Wimbledon QF,L vs Halep,18.9%,28.3%,32.5%,29.6%,44.4%,36.8%,38.5%,28.6%,0.0%,8.7%,13.0%,28.6%,30.8%,10.0%,0.0%,-30
2014 Madrid R16,L vs Halep,20.2%,27.3%,44.6%,31.5%,42.6%,48.6%,40.7%,25.9%,0.0%,7.5%,10.0%,40.5%,10.0%,15.0%,25.0%,-42
Career (35 matches),,27.0%,37.2%,42.3%,36.3%,48.7%,44.0%,49.0%,36.0%,26.6%,18.0%,26.9%,39.9%,39.2%,33.9%,23.0%,54
