Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Miami R64,W vs Alcaraz,21.3%,31.5%,55.9%,31.8%,22.4%,37.9%,60.0%,38.4%,55.2%,48.3%,0.0%,20.7%,20.7%,47.8%,19
2025 Indian Wells R128,W vs Sonego,23.3%,30.0%,37.8%,26.0%,25.0%,32.1%,47.6%,30.7%,50.0%,33.3%,-,22.6%,29.0%,29.2%,-32
2024 Shanghai QF,L vs Fritz,23.7%,25.4%,45.5%,27.6%,28.6%,31.0%,53.3%,34.0%,55.0%,36.4%,50.0%,12.5%,12.5%,28.6%,10
2024 US Open R32,L vs Machac,9.7%,19.4%,49.2%,17.1%,10.3%,28.2%,57.1%,23.8%,58.8%,63.6%,25.0%,11.1%,11.1%,37.5%,-18
2024 US Open R64,W vs Mannarino,21.9%,32.2%,52.9%,26.9%,26.7%,39.5%,60.3%,35.2%,75.0%,52.0%,57.1%,18.0%,26.0%,41.5%,47
2024 Winston Salem SF,L vs Sonego,18.0%,24.0%,50.0%,26.2%,31.8%,36.4%,66.7%,50.5%,72.7%,72.7%,50.0%,8.0%,16.0%,39.1%,-39
2024 Wimbledon R128,L vs Machac,22.6%,28.9%,43.5%,27.4%,30.0%,40.0%,49.2%,38.3%,55.8%,55.3%,100.0%,14.8%,16.4%,36.5%,25
2024 Roland Garros R128,W vs Mpetshi Perricard,25.4%,42.0%,66.0%,34.5%,26.7%,50.7%,76.4%,43.5%,43.2%,60.5%,-,26.3%,35.1%,52.4%,65
2024 Rotterdam R32,W vs Prizmic,20.0%,28.7%,47.8%,24.6%,29.9%,40.3%,55.3%,37.8%,50.0%,27.9%,66.7%,6.5%,13.0%,39.5%,-49
2023 Roland Garros R128,L vs Hurkacz,19.9%,31.1%,55.7%,28.4%,24.7%,41.6%,59.7%,39.2%,39.6%,63.4%,57.1%,14.3%,17.9%,50.0%,24
2023 Lyon R32,W vs Lopez San Martin,26.7%,48.9%,68.8%,30.0%,41.2%,58.8%,60.0%,50.0%,55.6%,50.0%,-,18.5%,44.4%,72.7%,-25
2023 Barcelona R64,W vs Lopez,37.0%,44.4%,63.0%,43.2%,51.0%,58.8%,64.0%,60.8%,45.8%,37.0%,-,16.0%,24.0%,61.9%,29
2022 Basel R32,L vs Nakashima,32.3%,43.4%,54.5%,39.3%,38.3%,53.3%,64.9%,49.8%,47.8%,48.6%,66.7%,23.7%,28.9%,41.4%,-40
2022 Antwerp R32,W vs Bailly,22.0%,32.0%,52.6%,31.4%,34.6%,50.0%,70.6%,52.7%,54.2%,42.9%,0.0%,8.7%,13.0%,38.1%,-26
2022 Astana R32,W vs Alcaraz,19.4%,27.4%,53.1%,25.6%,24.2%,33.3%,64.0%,36.1%,53.8%,45.0%,66.7%,14.3%,21.4%,41.7%,-27
2022 Metz R32,L vs Simon,18.5%,32.3%,44.2%,27.2%,24.2%,51.5%,60.0%,41.5%,66.7%,66.7%,60.0%,12.9%,12.9%,29.6%,-32
2022 US Open R128,L vs Musetti,27.5%,36.8%,48.4%,34.4%,35.8%,48.4%,60.7%,49.1%,51.3%,53.6%,50.0%,19.8%,25.9%,36.9%,25
2022 Wimbledon QF,L vs Norrie,25.5%,39.3%,55.2%,34.1%,27.3%,43.2%,59.4%,41.4%,67.5%,52.1%,50.0%,24.1%,35.2%,48.8%,1
2022 Wimbledon R16,W vs Tiafoe,32.7%,40.3%,47.4%,38.6%,42.4%,52.3%,52.6%,51.9%,56.9%,34.3%,42.9%,18.6%,22.9%,40.4%,63
2022 Halle R32,L vs Medvedev,22.9%,35.4%,51.4%,31.7%,28.6%,45.7%,48.0%,40.6%,68.4%,56.3%,50.0%,9.1%,9.1%,60.0%,-33
Career (108 matches),,25.0%,34.4%,51.4%,30.7%,33.2%,45.5%,56.4%,43.1%,49.7%,48.6%,54.6%,15.4%,21.5%,45.3%,36
