Date,Tournament,Surface,Rd,,Score
02-Sep-1970,US Open,Grass,R32,Ismail El Shafei [EGY] / Ray Keldie [AUS] d. Ashe / Dennis Ralston [USA],6-7 6-4 7-5 7-6
02-Sep-1970,US Open,Grass,R64,Ashe / Dennis Ralston [USA] d. Vladimir Korotkov / Alex Metreveli [RUS],7-6 6-7 6-4 3-6 7-5
22-Jun-1970,Wimbledon,Grass,R16,(3) Roy Emerson / Rod Laver [AUS] d. Ashe / Dennis Ralston [USA],7-5 6-3 12-10
22-Jun-1970,Wimbledon,Grass,R32,Ashe / Dennis Ralston [USA] d. Massimo Di Domenico / Ezio Di Matteo [ITA],6-4 6-1 6-4
22-Jun-1970,Wimbledon,Grass,R64,Ashe / Dennis Ralston [USA] d. Jean Claude Barclay / Daniel Contet [FRA],1-6 6-4 3-6 6-3 6-3
26-May-1970,Roland Garros,Clay,F,(1) Ilie Nastase / Ion Tiriac [ROU] d. Ashe / Charlie Pasarell [USA],6-2 6-4 6-3
26-May-1970,Roland Garros,Clay,SF,(2) Ashe / Charlie Pasarell [USA] d. Georges Goven / Francois Jauffret [FRA],6-4 6-3 4-6 6-2
26-May-1970,Roland Garros,Clay,QF,(2) Ashe / Charlie Pasarell [USA] d. Gerald Battrick / David Lloyd [GBR],6-2 4-6 6-3 6-2
26-May-1970,Roland Garros,Clay,R16,(2) Ashe / Charlie Pasarell [USA] d. Ray Keldie / Ray Ruffels [AUS],6-1 6-2 6-2
26-May-1970,Roland Garros,Clay,R32,(2) Ashe / Charlie Pasarell [USA] d. Eric Drossart / Patrick Hombergen [BEL],9-7 6-4 5-7 3-6 6-3
26-May-1970,Roland Garros,Clay,R64,(2) Ashe / Charlie Pasarell [USA] d. Peter Szoke / Geza Varga [HUN],6-4 6-4 4-6 6-2
19-Jan-1970,Australian Open,Grass,R16,Syd Ball / Bob Giltinan [AUS] d. Ashe / Dennis Ralston [USA],9-7 4-6 6-4
27-Aug-1969,US Open,Grass,R32,Jim Mcmanus / Jim Osborne [USA] d. Ashe / Clark Graebner [USA],W/O
27-Aug-1969,US Open,Grass,R64,(6) Ashe / Clark Graebner [USA] d. Armando Cornejo / Jaime Pinto Bravo [CHI],6-4 6-4 6-3
23-Jun-1969,Wimbledon,Grass,R16,Daniel Contet / Francois Jauffret [FRA] d. Ashe / Charlie Pasarell [USA],4-6 6-4 6-2 3-6 6-4
23-Jun-1969,Wimbledon,Grass,R32,(8) Ashe / Charlie Pasarell [USA] d. Thomaz Koch / Jose Edison Mandarino [BRA],1-6 2-6 8-6 7-5 6-2
23-Jun-1969,Wimbledon,Grass,R64,(8) Ashe / Charlie Pasarell [USA] d. Tom Gorman / Armistead Neely [USA],6-4 8-6 7-5
28-May-1969,Roland Garros,Clay,QF,(1) John Newcombe / Tony Roche [AUS] d. Ashe / Charlie Pasarell [USA],6-4 4-6 6-4 6-3
28-May-1969,Roland Garros,Clay,R16,Ashe / Charlie Pasarell [USA] d. Andres Gimeno / Manuel Santana [ESP],W/O
28-May-1969,Roland Garros,Clay,R32,Ashe / Charlie Pasarell [USA] d. Dick Crealy / Allan Stone [AUS],8-6 6-4 6-4
