Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1989,411,,175,1583,162,1542,,,,,,,,
1988,287,1,152,1605,139,1548,89,1604,,,,,,
1987,201,1,,,,,,,,,,,,
1986,104,7,85,1703,80,1613,59,1677,49,1669,,,,
1985,,,83,1702,63,1644,58,1669,47,1675,,,,
1984,41,,34,1828,30,1734,34,1751,19,1765,,,,
1983,,,36,1813,29,1729,29,1759,25,1737,,,,
1982,,,20,1861,29,1715,18,1802,21,1745,,,,
1981,,,38,1770,42,1629,29,1720,28,1679,,,,
1980,,,56,1701,65,1559,35,1668,36,1648,,,,
1979,,,38,1716,31,1632,40,1644,27,1676,,,,
1978,,,29,1781,23,1674,30,1675,15,1731,,,,
1977,,,25,1798,25,1638,33,1686,12,1772,,,,
1976,,,74,1609,63,1517,73,1574,76,1504,,,,
1975,,,96,1565,70,1504,89,1531,85,1474,,,,
