Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2021 W60+H La Bisbal D'Emporda R32,L vs Danilovic,8,20,0.4,7.8%,19.4%,8,18,0.4,8.8%,19.8%,4.4%,4.4%,0.7,18.4%,27.2%
Career (1 matches),,8,20,0.4,7.8%,19.4%,8,18,0.4,8.8%,19.8%,4.4%,4.4%,0.7,18.4%,27.2%
