Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,101,36,65,35.6%,92-135,40.5%,974-1140,46.1%,11-9,55.0%,84,57.5%,39.1%,3.8%,3.2%,61.4%,61.1%,44.9%,54.9%,42.3%,48.6%,0.94
Clay,84,40,44,47.6%,86-108,44.3%,881-948,48.2%,9-10,47.4%,66,58.8%,39.1%,2.2%,2.9%,63.7%,58.6%,45.4%,53.9%,44.2%,49.0%,0.96
Grass,9,1,8,11.1%,5-16,23.8%,74-116,38.9%,0-1,0.0%,9,62.1%,25.0%,3.9%,2.2%,63.8%,60.2%,44.0%,54.3%,34.5%,45.2%,0.76
Carpet,1,1,0,100.0%,2-1,66.7%,18-13,58.1%,0-1,0.0%,0,,,,,,,,,,,
Grand Slams,28,8,20,28.6%,19-41,31.7%,234-323,42.0%,1-4,20.0%,27,62.7%,25.0%,2.7%,3.1%,61.8%,57.4%,46.8%,53.3%,40.1%,46.9%,0.86
Premiers,9,2,7,22.2%,6-16,27.3%,82-113,42.1%,0-0,-,8,49.1%,35.7%,3.6%,2.7%,62.4%,57.6%,39.1%,50.6%,42.2%,46.4%,0.85
Internationals,118,47,71,39.8%,114-160,41.6%,1211-1375,46.8%,14-12,53.8%,106,56.3%,38.1%,3.0%,3.1%,62.3%,60.5%,44.4%,54.4%,42.5%,48.5%,0.93
Finals,2,1,1,50.0%,2-2,50.0%,22-18,55.0%,0-1,0.0%,2,60.0%,52.6%,1.3%,1.9%,66.9%,56.2%,50.0%,54.1%,50.0%,52.2%,1.09
Semi-finals,7,2,5,28.6%,4-11,26.7%,57-78,42.2%,0-1,0.0%,6,64.9%,31.6%,3.5%,1.7%,64.6%,60.6%,42.3%,54.1%,40.2%,47.4%,0.88
Quarter-finals,11,7,4,63.6%,16-11,59.3%,121-117,50.8%,1-0,100.0%,11,67.3%,49.1%,3.2%,2.8%,62.8%,61.5%,42.6%,54.5%,45.0%,49.8%,0.99
vs Righties,172,64,108,37.2%,155-236,39.6%,1679-1976,45.9%,16-19,45.7%,143,56.7%,37.5%,3.2%,2.9%,62.5%,59.7%,44.9%,54.1%,42.6%,48.4%,0.93
vs Lefties,16,9,7,56.3%,20-20,50.0%,194-187,50.9%,4-2,66.7%,11,77.0%,35.0%,2.7%,4.0%,60.7%,64.4%,45.6%,57.0%,40.7%,49.4%,0.95
vs Top 10,10,0,10,0.0%,0-20,0.0%,48-122,28.2%,0-1,0.0%,9,41.7%,12.0%,3.0%,4.1%,61.2%,52.7%,39.9%,47.8%,31.3%,40.2%,0.60
