Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,22,11,11,50.0%,27-24,52.9%,255-223,53.3%,1-3,25.0%,4,61.7%,29.2%,2.1%,1.7%,57.1%,60.4%,49.6%,55.7%,41.7%,48.6%,0.94,SF (W25 Porto)
2021,9,4,5,44.4%,10-11,47.6%,108-103,51.2%,1-2,33.3%,0,,,,,,,,,,,,QF (W25 Petange)
2020,3,1,2,33.3%,3-5,37.5%,36-43,45.6%,0-0,-,0,,,,,,,,,,,,R16 (W25 Canberra (Bendigo))
2019,24,13,11,54.2%,27-26,50.9%,236-235,50.1%,2-1,66.7%,5,53.5%,26.7%,2.6%,1.1%,71.6%,57.8%,39.5%,52.6%,38.5%,45.4%,0.81,W (W80 Tyler TX)
2018,40,30,10,75.0%,63-29,68.5%,468-350,57.2%,4-2,66.7%,4,56.1%,31.0%,4.5%,3.3%,67.8%,57.9%,41.0%,52.5%,41.9%,46.9%,0.88,W (4x)
2016,19,9,10,47.4%,19-22,46.3%,187-194,49.1%,1-1,50.0%,2,66.7%,28.6%,2.1%,4.2%,61.5%,65.9%,41.8%,56.6%,40.1%,48.4%,0.93,W (Albuquerque NM $75K)
2015,28,17,11,60.7%,34-28,54.8%,297-261,53.2%,1-3,25.0%,0,,,,,,,,,,,,W (Kirkland WA $50K)
2014,24,15,9,62.5%,35-24,59.3%,296-247,54.5%,3-4,42.9%,0,,,,,,,,,,,,W (Essen 25K)
2013,16,11,5,68.8%,24-13,64.9%,184-134,57.9%,0-1,0.0%,0,,,,,,,,,,,,W (Captiva Island FL 50K)
2012,21,12,9,57.1%,26-23,53.1%,253-235,51.8%,1-6,14.3%,0,,,,,,,,,,,,F (2x)
2011,43,27,16,62.8%,59-38,60.8%,480-392,55.0%,6-3,66.7%,0,,,,,,,,,,,,W (Darmstadt 25K)
2010,35,21,14,60.0%,46-37,55.4%,395-373,51.4%,4-4,50.0%,0,,,,,,,,,,,,W (2x)
2009,33,20,13,60.6%,42-32,56.8%,370-343,51.9%,4-4,50.0%,0,,,,,,,,,,,,W (Tessenderlo 25K)
2008,30,15,15,50.0%,33-33,50.0%,293-298,49.6%,3-5,37.5%,0,,,,,,,,,,,,F (Monteroni D'Arbia 25K)
2007,24,11,13,45.8%,23-29,44.2%,231-243,48.7%,2-1,66.7%,0,,,,,,,,,,,,SF (Montechoro 10K)
2006,26,16,10,61.5%,34-28,54.8%,304-269,53.1%,3-3,50.0%,0,,,,,,,,,,,,W (Caserta 25K)
2005,41,23,18,56.1%,53-41,56.4%,466-404,53.6%,3-3,50.0%,0,,,,,,,,,,,,W (Gardone Val Trompia 10K)
2004,29,17,12,58.6%,35-29,54.7%,311-267,53.8%,2-3,40.0%,0,,,,,,,,,,,,W (Zadar 10K)
2003,18,9,9,50.0%,23-19,54.8%,201-190,51.4%,2-3,40.0%,0,,,,,,,,,,,,F (Ancona 10K)
2002,8,4,4,50.0%,8-9,47.1%,77-80,49.0%,3-1,75.0%,0,,,,,,,,,,,,QF (Faro 10K)
2001,2,1,1,50.0%,2-2,50.0%,13-19,40.6%,0-0,-,0,,,,,,,,,,,,R16 (Westende 10K)
Career,495,287,208,58.0%,626-502,55.5%,5461-4903,52.7%,46-53,46.5%,15,58.6%,28.8%,2.9%,2.3%,64.7%,59.7%,44.0%,54.1%,40.6%,47.2%,0.89,
