Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-06-12),787,31,,,,,,,,,,,,
2022,,,196,1518,165,1521,187,1459,160,1438,,,,
2021,262,267,172,1539,168,1518,168,1489,150,1450,,,,
2020,170,428,,,,,,,,,113,751,,
2019,141,433,164,1588,150,1564,163,1519,138,1481,112,678,,
2018,103,601,128,1640,135,1590,112,1589,,,235,297,,
2017,143,401,131,1628,128,1594,115,1567,124,1496,138,517,,
2016,105,614,122,1642,132,1584,116,1578,109,1541,126,577,,
2015,168,322,148,1566,154,1524,134,1534,158,1427,92,847,,
2014,181,287,188,1524,206,1458,146,1527,,,83,957,,
2013,106,621,147,1611,152,1560,126,1574,175,1419,63,1415,,
2012,77,815,153,1599,155,1538,132,1576,164,1429,69,1305,,
2011,110,610,169,1549,156,1520,166,1474,174,1416,174,425,,
2010,136,492,204,1498,185,1490,207,1425,177,1415,422,109,,
2009,243,211,225,1454,226,1402,214,1413,,,,,,
2008,330,71,259,1408,220,1425,265,1339,,,,,,
2007,404,47,,,,,,,,,,,,
2006,312,71,,,,,,,,,,,,
2005,249,124,224,1487,187,1494,238,1394,,,,,,
2004,331,69,,,,,,,,,,,,
2003,588,17,,,,,,,,,,,,
2002,873,7,,,,,,,,,,,,
