Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2021,391,107,,,,,,,,,,,,
2020,291,170,235,1460,236,1414,,,,,,,,
2019,318,126,296,1443,298,1389,294,1389,184,1449,,,,
2018,186,273,265,1463,245,1431,,,195,1432,534,25,,
2017,843,18,,,,,,,,,,,,
2016,444,90,253,1462,232,1441,241,1419,182,1452,1266,15,,
2015,156,365,200,1533,177,1514,181,1496,186,1462,,,,
2014,107,539,114,1659,110,1614,118,1596,142,1508,,,,
2013,161,322,206,1531,184,1508,216,1465,170,1460,747,52,,
2012,250,187,235,1497,218,1464,243,1429,171,1470,1176,15,,
2011,162,310,193,1537,206,1472,210,1473,114,1541,267,231,,
2010,201,253,240,1496,251,1420,213,1477,153,1483,328,184,,
2009,270,162,308,1418,351,1300,233,1455,224,1398,362,156,,
2008,280,132,349,1366,309,1360,,,222,1375,394,128,,
2007,558,40,,,,,,,,,,,,
2006,914,11,,,,,,,,,987,18,,
2005,1401,2,,,,,,,,,,,,
