Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2017 Wimbledon R128,L vs Baghdatis,109.5,114.6,5.3,116.0,113.0,123,92,96.9,7.6,106.5,97.7,116,84
2016 Wimbledon R128,L vs Djokovic,108.9,118.8,4.9,121.4,113.4,127,107,93.8,8.6,100.3,94.7,119,80
2015 Wimbledon R32,L vs Pospisil,105.1,113.4,6.5,,,123,86,93.3,5.7,,,106,82
2015 Wimbledon R64,W vs Vesely,108.0,117.0,5.5,,,125,100,94.1,5.0,,,107,81
2015 Wimbledon R128,W vs Vanni,107.2,114.6,6.0,,,125,99,94.4,6.1,,,107,79
2014 Wimbledon R128,L vs Youzhny,105.6,111.7,5.6,,,121,100,94.1,9.6,,,116,77
2014 Roland Garros R128,L vs Robredo,101.1,108.9,9.2,,,124,74,83.7,8.5,,,101,70
2013 Wimbledon R128,L vs Lu,100.5,,,,,126,,,,,,,66
2012 Wimbledon R64,L vs Fish,107.0,,,,,126,,,,,,,83
2011 Wimbledon R128,L vs Llodra,109.1,116.4,8.4,,,129,96,99.2,4.4,,,113,92
Career (10 matches),,105.7,114.1,6.5,119.4,113.1,129,74,93.4,6.7,102.5,95.7,119,66
