Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,17,8,9,47.1%,7,3,4,42.9%,2009,2019,R128,14,1.05,9.5%,3.6%,61.6%,71.2%,49.1%,62.8%,39.1%,60.4%,34.5%
Roland Garros,7,Clay,11,4,7,36.4%,4,3,1,75.0%,2010,2019,R128,10,0.90,3.5%,2.7%,62.5%,70.1%,46.4%,61.2%,35.0%,55.0%,43.9%
Wimbledon,10,Grass,15,5,10,33.3%,9,4,5,44.4%,2009,2019,R32,12,0.88,9.1%,3.1%,60.9%,71.7%,51.4%,63.8%,31.8%,68.2%,30.8%
US Open,8,Hard,13,5,8,38.5%,2,1,1,50.0%,2009,2019,R128,11,1.01,9.5%,4.3%,58.6%,72.7%,49.5%,63.1%,37.3%,61.8%,34.2%
Davis Cup,7,,21,10,11,47.6%,8,2,6,25.0%,2010,2016,,2,0.70,5.9%,2.4%,62.4%,59.4%,46.9%,54.7%,31.8%,52.4%,22.2%
Queen's Club,13,Grass,21,8,13,38.1%,10,4,6,40.0%,2008,2021,SF,21,0.96,8.9%,4.0%,61.0%,73.1%,52.3%,65.0%,33.5%,53.4%,33.9%
Eastbourne,9,Grass,14,5,9,35.7%,3,2,1,66.7%,2009,2021,QF,14,0.90,8.9%,4.8%,60.4%,73.0%,49.9%,63.8%,32.7%,63.6%,31.3%
Dubai,4,Hard,7,3,4,42.9%,5,1,4,20.0%,2014,2019,R16,7,0.94,7.7%,4.5%,55.2%,71.9%,50.9%,62.5%,35.4%,63.4%,44.1%
Doha,4,Hard,5,1,4,20.0%,3,0,3,0.0%,2011,2018,Q2,5,0.96,8.8%,3.5%,58.9%,68.7%,42.1%,57.8%,40.6%,55.6%,46.7%
Chennai,3,Hard,9,6,3,66.7%,0,0,0,-,2010,2016,R32,9,1.11,9.8%,3.2%,62.8%,71.7%,51.2%,64.1%,39.8%,63.9%,40.0%
Indian Wells Masters,3,Hard,6,2,4,33.3%,2,2,0,100.0%,2012,2015,R64,6,0.92,6.6%,4.4%,58.1%,69.7%,47.4%,60.3%,36.7%,53.7%,19.5%
