Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2011,2,1,1,50.0%,3-2,60.0%,26-27,49.1%,1-0,100.0%,2,88.0%,11.1%,29.6%,5.3%,70.4%,81.3%,46.7%,71.1%,32.0%,49.8%,1.11,R16 (Bergamo)
2009,8,4,4,50.0%,8-6,57.1%,78-71,52.3%,2-3,40.0%,0,,,,,,,,,,,,SF (Izmir)
2006,3,1,2,33.3%,2-2,50.0%,22-22,50.0%,1-0,100.0%,0,,,,,,,,,,,,R16 (Recanati)
2004,6,5,1,83.3%,10-3,76.9%,74-65,53.2%,4-0,100.0%,0,,,,,,,,,,,,W (Luxembourg)
2003,46,34,12,73.9%,67-31,68.4%,540-441,55.0%,11-10,52.4%,0,,,,,,,,,,,,W (2x)
2002,12,6,6,50.0%,15-14,51.7%,138-141,49.5%,2-1,66.7%,0,,,,,,,,,,,,SF (Nottingham)
2001,2,1,1,50.0%,3-2,60.0%,23-22,51.1%,1-0,100.0%,0,,,,,,,,,,,,R16 (Milan1)
Career,79,52,27,65.8%,108-60,64.3%,901-789,53.3%,22-14,61.1%,2,88.0%,11.1%,29.6%,5.3%,70.4%,81.3%,46.7%,71.1%,32.0%,49.8%,1.11,
