Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2013,694,32,,,,,,,,,,,,
2011,547,49,,,,,,,,,,,,
2010,889,10,,,,,,,,,,,,
2009,365,107,,,,,,,,,,,,
2008,771,20,,,,,,,,,,,,
2007,350,100,,,,,,,,,,,,
2006,193,202,,,,,,,,,1661,1,,
2005,53,680,49,1800,19,1854,123,1583,50,1680,149,350,,
2004,11,1595,9,1959,6,1932,86,1660,14,1776,182,266,,
2003,95,399,43,1830,38,1776,125,1589,53,1647,343,126,,
2002,219,142,207,1539,208,1473,204,1485,,,450,74,,
2001,390,73,,,,,,,,,1239,6,,
2000,773,12,,,,,,,,,1208,6,,
1998,,,,,,,,,,,1384,1,,
