Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,96,58,38,60.4%,141-90,61.0%,1283-1145,52.8%,31-32,49.2%,87,91.4%,15.2%,19.7%,5.3%,61.9%,80.3%,53.9%,70.3%,32.2%,51.1%,1.08
Clay,17,3,14,17.6%,10-30,25.0%,159-220,42.0%,3-4,42.9%,14,72.7%,8.9%,8.8%,7.2%,57.0%,70.3%,46.0%,59.9%,29.8%,45.4%,0.74
Grass,12,6,6,50.0%,18-18,50.0%,194-200,49.2%,9-6,60.0%,12,90.0%,7.4%,19.1%,5.6%,65.7%,79.7%,51.8%,70.1%,28.8%,49.6%,0.96
Carpet,7,4,3,57.1%,9-7,56.3%,89-78,53.3%,1-4,20.0%,6,96.9%,15.6%,19.4%,4.8%,68.3%,81.5%,54.0%,72.8%,34.6%,53.2%,1.27
Grand Slams,24,15,9,62.5%,48-32,60.0%,446-415,51.8%,15-8,65.2%,24,90.2%,12.8%,18.4%,5.2%,63.6%,78.5%,52.3%,69.0%,31.1%,50.3%,1.00
Masters,19,8,11,42.1%,19-24,44.2%,217-237,47.8%,9-10,47.4%,18,85.6%,10.9%,17.3%,6.3%,60.1%,77.9%,52.0%,67.6%,29.2%,48.6%,0.90
Other Tours,82,46,36,56.1%,103-75,57.9%,954-875,52.2%,19-24,44.2%,77,90.4%,14.7%,18.8%,5.5%,61.9%,80.1%,53.2%,69.9%,32.5%,50.9%,1.08
Best of 5,29,17,12,58.6%,55-42,56.7%,529-502,51.3%,16-10,61.5%,24,90.2%,12.8%,18.4%,5.2%,63.6%,78.5%,52.3%,69.0%,31.1%,50.3%,1.00
Best of 3,103,54,49,52.4%,123-103,54.4%,1196-1141,51.2%,28-36,43.8%,95,89.4%,13.9%,18.5%,5.7%,61.5%,79.7%,52.9%,69.4%,31.8%,50.5%,1.04
Finals,3,3,0,100.0%,6-0,100.0%,39-26,60.0%,1-0,100.0%,3,100.0%,18.8%,18.0%,7.9%,60.1%,88.8%,57.7%,76.4%,35.9%,54.2%,1.52
Semi-finals,6,3,3,50.0%,7-8,46.7%,77-80,49.0%,3-2,60.0%,6,89.2%,10.3%,19.6%,4.2%,61.8%,77.6%,59.1%,70.5%,26.7%,48.6%,0.91
Quarter-finals,15,6,9,40.0%,17-20,45.9%,195-201,49.2%,5-9,35.7%,15,91.1%,9.1%,19.3%,4.7%,63.9%,77.7%,54.7%,69.4%,28.6%,49.3%,0.93
vs Righties,111,59,52,53.2%,146-121,54.7%,1405-1354,50.9%,35-34,50.7%,99,89.2%,13.3%,19.0%,5.7%,62.3%,79.5%,51.8%,69.0%,31.5%,50.3%,1.02
vs Lefties,21,12,9,57.1%,32-24,57.1%,320-289,52.5%,9-12,42.9%,20,91.4%,15.0%,16.3%,5.0%,61.6%,78.7%,56.8%,70.3%,31.9%,51.0%,1.07
vs Top 10,12,4,8,33.3%,11-21,34.4%,158-184,46.2%,3-8,27.3%,10,86.4%,8.6%,19.9%,5.3%,62.3%,76.4%,49.3%,66.2%,26.1%,47.1%,0.77
