Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,123,48,75,39.0%,112-165,40.4%,1206-1409,46.1%,22-11,66.7%,10,-,-,6.7%,7.1%,59.7%,62.0%,43.1%,54.4%,35.2%,44.9%,0.77
Clay,28,7,21,25.0%,18-45,28.6%,227-336,40.3%,3-2,60.0%,5,-,-,2.8%,7.3%,56.1%,61.5%,36.5%,50.5%,38.8%,44.5%,0.78
Grass,29,15,14,51.7%,33-32,50.8%,308-314,49.5%,4-6,40.0%,1,-,-,15.9%,7.5%,57.0%,72.1%,30.4%,54.2%,29.9%,44.8%,0.65
Carpet,35,16,19,45.7%,37-39,48.7%,363-362,50.1%,5-7,41.7%,0,,,,,,,,,,,
Grand Slams,30,9,21,30.0%,21-46,31.3%,272-355,43.4%,3-5,37.5%,5,-,-,9.0%,7.7%,61.3%,67.6%,38.7%,56.4%,31.9%,44.7%,0.73
Premiers,117,48,69,41.0%,114-152,42.9%,1173-1332,46.8%,18-14,56.3%,6,-,-,3.3%,6.6%,56.9%,59.7%,39.1%,50.8%,37.9%,44.4%,0.77
Internationals,38,18,20,47.4%,44-43,50.6%,414-413,50.1%,9-6,60.0%,5,-,-,7.3%,7.3%,56.2%,59.6%,42.1%,51.9%,38.9%,45.6%,0.81
Finals,2,0,2,0.0%,1-4,20.0%,18-29,38.3%,0-1,0.0%,0,,,,,,,,,,,
Semi-finals,4,2,2,50.0%,5-4,55.6%,42-44,48.8%,2-1,66.7%,0,,,,,,,,,,,
Quarter-finals,16,4,12,25.0%,11-24,31.4%,147-183,44.5%,1-5,16.7%,0,,,,,,,,,,,
vs Righties,197,78,119,39.6%,183-259,41.4%,1916-2219,46.3%,32-20,61.5%,14,-,-,4.7%,7.2%,56.9%,60.6%,40.8%,52.1%,36.8%,44.5%,0.77
vs Lefties,15,6,9,40.0%,13-19,40.6%,155-172,47.4%,2-5,28.6%,2,-,-,13.5%,7.2%,64.3%,70.7%,35.1%,58.0%,31.8%,46.2%,0.76
vs Top 10,29,6,23,20.7%,17-49,25.8%,264-363,42.1%,4-4,50.0%,1,-,-,1.7%,5.2%,55.2%,56.3%,30.8%,44.8%,36.2%,40.5%,0.66
