Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2011,4,1,3,25.0%,2-6,25.0%,28-41,40.6%,0-1,0.0%,3,-,-,6.9%,10.3%,49.0%,50.7%,44.6%,47.6%,46.2%,46.9%,0.88,R16 (Memphis)
2009,2,0,2,0.0%,0-4,0.0%,14-25,35.9%,0-1,0.0%,2,-,-,5.2%,9.0%,56.0%,64.0%,39.0%,53.0%,35.5%,44.6%,0.75,R32 (Memphis)
2008,2,1,1,50.0%,2-2,50.0%,18-20,47.4%,1-0,100.0%,2,-,-,3.4%,3.4%,65.5%,66.7%,31.7%,54.6%,42.6%,48.4%,0.94,R32 (Charleston)
2006,4,0,4,0.0%,0-7,0.0%,21-43,32.8%,0-1,0.0%,4,-,-,4.5%,5.4%,57.1%,57.8%,41.7%,50.9%,30.7%,41.6%,0.63,R32 (2x)
2005,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R32 (Stanford)
2004,7,0,7,0.0%,3-14,17.6%,62-101,38.0%,1-1,50.0%,2,-,-,4.0%,10.3%,56.3%,66.2%,40.0%,54.8%,32.3%,43.4%,0.71,R32 (2x)
2003,40,13,27,32.5%,34-56,37.8%,392-462,45.9%,5-5,50.0%,3,-,-,11.5%,6.5%,63.7%,68.3%,37.9%,57.3%,31.7%,45.3%,0.74,SF (Scottsdale)
2002,55,31,24,56.4%,72-62,53.7%,651-631,50.8%,12-8,60.0%,0,,,,,,,,,,,,F (2x)
2001,30,15,15,50.0%,34-32,51.5%,312-316,49.7%,5-3,62.5%,0,,,,,,,,,,,,QF (3x)
2000,33,9,24,27.3%,23-49,31.9%,290-385,43.0%,5-4,55.6%,0,,,,,,,,,,,,QF (Sydney)
1999,24,13,11,54.2%,22-28,44.0%,215-244,46.8%,5-1,83.3%,0,,,,,,,,,,,,SF (Wimbledon)
1998,10,3,7,30.0%,8-13,38.1%,82-104,44.1%,0-1,0.0%,0,,,,,,,,,,,,QF (Quebec City)
1997,2,0,2,0.0%,0-4,0.0%,13-25,34.2%,0-0,-,0,,,,,,,,,,,,R32 (San Diego)
1996,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R64 (Indian Wells)
Career,215,86,129,40.0%,200-281,41.6%,2104-2421,46.5%,34-26,56.7%,16,-,-,6.5%,7.2%,58.4%,62.9%,39.8%,53.3%,35.9%,44.8%,0.77,
