Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2018 Brisbane R32,L vs Krunic,18.8%,24.7%,49.2%,20.0%,26.7%,52.1%,32.0%,45.7%,42.9%,19.0%,23.8%,41.2%,20.0%,72.7%,-,65
2017 Beijing R64,L vs Radwanska,14.7%,22.7%,42.4%,17.6%,27.5%,42.9%,53.6%,56.5%,75.0%,10.5%,15.8%,41.2%,25.0%,45.5%,33.3%,-23
2017 US Open R128,L vs Sevastova,11.4%,14.3%,41.1%,14.6%,18.8%,48.8%,41.7%,29.2%,37.5%,6.3%,6.3%,20.0%,0.0%,55.6%,50.0%,-66
2017 Wimbledon R32,L vs Svitolina,15.4%,23.1%,40.0%,15.2%,26.1%,43.6%,71.4%,16.0%,20.0%,21.4%,21.4%,27.3%,44.4%,20.0%,0.0%,63
2017 Roland Garros R32,L vs Pliskova,17.2%,20.7%,31.9%,19.0%,23.8%,35.3%,55.0%,31.8%,33.3%,13.3%,13.3%,23.1%,0.0%,57.1%,-,-28
2017 Miami R64,L vs Putintseva,12.7%,16.9%,44.8%,13.2%,17.0%,41.3%,54.2%,69.0%,50.0%,14.3%,21.4%,58.3%,0.0%,40.0%,-,17
2017 Miami R128,W vs Gibbs,13.5%,21.2%,58.1%,11.4%,22.9%,51.6%,46.2%,59.1%,50.0%,20.0%,20.0%,75.0%,20.0%,20.0%,0.0%,38
2017 Australian Open R64,L vs Kerber,14.0%,28.0%,50.0%,18.8%,34.4%,55.8%,62.1%,8.6%,0.0%,4.8%,19.0%,35.0%,63.6%,0.0%,0.0%,-79
2016 ITF Biarritz QF,L vs Sramkova,25.0%,30.6%,40.0%,25.5%,30.9%,39.0%,21.4%,11.1%,12.5%,30.8%,38.5%,44.4%,0.0%,28.6%,0.0%,152
2016 Australian Open R128,L vs Zheng,17.5%,24.6%,31.6%,22.9%,31.4%,33.3%,50.0%,47.4%,25.0%,15.4%,23.1%,27.3%,28.6%,50.0%,75.0%,-14
2015 Stuttgart R16,L vs Garcia,20.3%,23.0%,40.7%,25.0%,27.3%,42.4%,33.3%,4.3%,0.0%,16.0%,20.0%,38.1%,0.0%,29.4%,0.0%,35
2015 Katowice R16,L vs Van Uytvanck,22.6%,30.2%,50.0%,30.0%,36.7%,52.4%,23.1%,23.5%,0.0%,16.7%,27.8%,46.7%,0.0%,42.9%,0.0%,31
2015 Australian Open R128,W vs Suarez Navarro,33.3%,39.6%,58.6%,38.2%,47.1%,66.7%,64.3%,40.0%,-,27.3%,27.3%,37.5%,0.0%,42.9%,0.0%,128
2014 Australian Open Q Q2,L vs Minella,27.5%,31.9%,53.3%,33.3%,38.5%,42.3%,55.6%,9.5%,0.0%,24.0%,28.0%,68.4%,0.0%,28.6%,33.3%,62
Career (14 matches),,18.5%,24.8%,44.9%,21.1%,28.6%,46.0%,47.3%,32.2%,30.3%,16.7%,21.7%,42.0%,16.0%,38.0%,30.0%,33
