Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2018 US Open R64,L vs Williams,10,15,0.7,9.3%,13.9%,8,9,0.9,9.4%,10.6%,5.9%,3.5%,2.0,27.8%,13.9%
2018 US Open R128,W vs Dolehide,18,9,2.0,12.9%,6.4%,17,4,4.3,13.0%,3.1%,7.6%,5.3%,0.9,19.3%,20.7%
2018 Wimbledon R128,L vs Suarez Navarro,16,33,0.5,14.2%,29.2%,13,28,0.5,12.6%,27.2%,8.7%,3.9%,0.8,12.4%,15.0%
2017 Wimbledon R32,L vs Svitolina,13,20,0.7,11.1%,17.1%,11,15,0.7,10.4%,14.2%,9.4%,0.9%,1.7,23.1%,13.7%
2017 Wimbledon R64,W vs Sabalenka,20,12,1.7,10.2%,6.1%,17,5,3.4,9.7%,2.9%,7.4%,2.3%,1.1,25.5%,24.0%
2017 Wimbledon R128,W vs Lucic,20,30,0.7,8.6%,12.9%,18,25,0.7,8.6%,11.9%,5.7%,1.9%,0.8,19.4%,25.9%
2017 Roland Garros R32,L vs Pliskova,5,17,0.3,4.5%,15.2%,4,16,0.3,3.9%,15.5%,1.0%,2.9%,1.2,30.4%,25.0%
2017 Roland Garros R64,W vs Parmentier,18,22,0.8,10.7%,13.1%,18,20,0.9,11.1%,12.3%,6.2%,4.9%,0.8,20.2%,26.8%
2017 Roland Garros R128,W vs Davis,20,28,0.7,11.6%,16.3%,19,25,0.8,11.8%,15.5%,9.3%,2.5%,1.0,22.7%,23.3%
2017 Australian Open R64,L vs Kerber,38,69,0.6,19.1%,34.7%,35,61,0.6,19.6%,34.1%,12.3%,7.3%,0.8,13.1%,17.1%
2017 Australian Open R128,W vs Hozumi,29,37,0.8,17.0%,21.6%,25,29,0.9,16.0%,18.6%,9.6%,6.4%,0.6,11.7%,19.9%
2016 US Open R32,L vs Vinci,32,32,1.0,18.5%,18.5%,32,27,1.2,19.2%,16.2%,12.0%,6.6%,1.5,23.1%,15.6%
2016 US Open R128,W vs Doi,18,19,0.9,13.4%,14.2%,18,14,1.3,14.3%,11.1%,11.9%,1.6%,0.6,14.9%,26.9%
2016 Wimbledon R32,L vs Kerber,20,44,0.5,12.9%,28.4%,19,36,0.5,13.3%,25.2%,9.8%,3.5%,0.7,10.3%,14.2%
2016 Wimbledon R64,W vs Nara,23,17,1.4,20.7%,15.3%,17,15,1.1,17.7%,15.6%,11.5%,6.3%,0.7,14.4%,20.7%
2016 Wimbledon R128,W vs Begu,9,13,0.7,10.2%,14.8%,8,9,0.9,10.5%,11.8%,10.5%,0.0%,0.2,6.8%,34.1%
2016 Australian Open R128,L vs Zheng,14,36,0.4,13.5%,34.6%,11,27,0.4,12.9%,31.8%,11.8%,1.2%,0.9,15.4%,16.3%
2015 US Open R128,L vs Muguruza,13,20,0.7,10.2%,15.6%,12,16,0.8,11.2%,15.0%,9.3%,1.9%,1.3,30.5%,24.2%
2015 Wimbledon R128,L vs Kerber,9,16,0.6,11.3%,20.0%,8,9,0.9,11.8%,13.2%,7.4%,4.4%,4.2,26.3%,6.3%
2015 Roland Garros R64,L vs Errani,35,38,0.9,21.7%,23.6%,34,33,1.0,21.9%,21.3%,10.3%,11.6%,1.3,18.6%,14.9%
Career (22 matches),,417,576,0.7,13.6%,18.8%,369,462,0.8,13.4%,16.8%,9.0%,4.2%,0.9,18.6%,20.5%
