Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,12,7,5,58.3%,4,1,3,25.0%,2022,2026,R64,12,1.05,7.0%,5.7%,61.0%,67.1%,43.6%,57.9%,44.0%,60.6%,41.7%
Roland Garros,4,Clay,6,2,4,33.3%,2,0,2,0.0%,2022,2025,R128,6,0.97,2.9%,3.6%,60.8%,63.7%,46.0%,56.8%,42.0%,66.1%,33.3%
Wimbledon,4,Grass,6,2,4,33.3%,1,1,0,100.0%,2022,2025,R64,6,0.90,5.2%,5.7%,61.9%,63.7%,45.3%,56.7%,39.1%,51.1%,36.8%
US Open,5,Hard,11,6,5,54.5%,6,2,4,33.3%,2021,2025,R64,11,0.94,7.5%,5.8%,61.2%,67.8%,46.2%,59.4%,38.1%,56.3%,43.7%
Miami,4,Hard,10,6,4,60.0%,2,1,1,50.0%,2023,2026,R32,10,1.07,8.4%,4.2%,61.6%,70.2%,46.8%,61.2%,41.5%,59.0%,56.3%
Indian Wells,4,Hard,8,4,4,50.0%,0,0,0,-,2022,2026,R128,8,1.02,7.0%,7.1%,62.1%,68.9%,38.5%,57.4%,43.4%,54.7%,38.7%
Doha,3,Hard,4,1,3,25.0%,1,1,0,100.0%,2024,2026,Q2,4,0.80,2.2%,7.3%,55.6%,60.8%,39.3%,51.3%,39.2%,42.9%,29.4%
Cluj-Napoca,2,Hard,3,1,2,33.3%,1,0,1,0.0%,2025,2026,R16,3,0.88,5.4%,6.5%,60.8%,75.3%,42.2%,62.3%,33.3%,68.2%,36.8%
Beijing,3,Hard,4,1,3,25.0%,1,0,1,0.0%,2023,2025,Q2,4,0.87,6.5%,6.5%,59.2%,62.4%,46.2%,55.8%,38.6%,48.4%,42.3%
Cincinnati,2,Hard,3,1,2,33.3%,0,0,0,-,2023,2025,Q2,3,1.09,8.1%,7.6%,60.4%,72.3%,43.6%,60.9%,42.5%,43.8%,34.6%
