Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 US Open R128,W vs Sakkari,27.5%,43.5%,52.1%,31.8%,52.3%,53.3%,86.4%,36.4%,0.0%,21.7%,30.4%,50.0%,100.0%,33.3%,0.0%,-104
2023 Bad Homburg R16,W vs Andreescu,50.0%,63.6%,71.4%,62.5%,78.1%,83.3%,33.3%,57.1%,-,18.2%,27.3%,55.6%,0.0%,11.1%,-,-3
2023 Roland Garros R128,L vs Gauff,20.4%,24.7%,42.3%,21.4%,23.2%,36.4%,72.4%,51.9%,28.6%,20.6%,29.4%,51.9%,87.5%,38.9%,20.0%,-6
2023 Auckland F,L vs Gauff,18.4%,20.4%,32.4%,23.5%,26.5%,42.3%,76.5%,47.1%,100.0%,8.3%,8.3%,9.1%,83.3%,16.7%,0.0%,-36
2022 Warsaw R32,L vs Chwalinska,13.8%,24.6%,42.6%,15.8%,26.3%,43.8%,58.8%,47.6%,50.0%,12.0%,24.0%,40.9%,73.3%,40.0%,33.3%,-14
2021 US Open R64,L vs Svitolina,24.6%,31.1%,44.4%,40.6%,53.1%,52.6%,69.2%,15.8%,0.0%,7.1%,7.1%,38.5%,46.7%,30.8%,0.0%,-62
2021 US Open R128,W vs Bogdan,23.3%,33.7%,50.4%,31.7%,44.2%,57.7%,43.2%,34.3%,63.6%,9.8%,17.6%,39.1%,84.6%,52.0%,0.0%,-21
2021 ITF Platja F,W vs Burillo Escorihuela,9.2%,13.3%,45.9%,10.3%,14.7%,45.9%,61.8%,47.1%,63.6%,7.7%,11.5%,45.8%,91.7%,28.6%,25.0%,-42
2016 Gstaad SF,L vs Golubic,21.1%,29.6%,42.9%,27.0%,40.5%,51.9%,47.1%,25.0%,37.5%,18.5%,22.2%,31.8%,6.7%,58.3%,0.0%,51
Career (9 matches),,21.7%,30.2%,46.3%,27.6%,37.8%,49.7%,60.3%,39.4%,52.0%,13.5%,19.8%,41.0%,68.7%,37.7%,14.3%,20
