Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,45,21,24,46.7%,49-57,46.2%,498-531,48.4%,12-5,70.6%,45,68.6%,27.0%,6.6%,5.4%,63.3%,66.8%,43.0%,58.0%,40.0%,49.2%,0.95
Clay,20,9,11,45.0%,23-27,46.0%,227-250,47.6%,4-2,66.7%,20,62.3%,32.3%,5.0%,4.5%,62.9%,62.0%,45.3%,55.8%,42.2%,49.0%,0.95
Grass,12,4,8,33.3%,11-15,42.3%,112-130,46.3%,2-1,66.7%,12,72.6%,19.3%,7.5%,4.2%,63.3%,67.6%,48.8%,60.7%,37.6%,49.1%,0.96
Grand Slams,13,4,9,30.8%,10-20,33.3%,122-169,41.9%,3-2,60.0%,13,64.6%,18.8%,4.8%,5.1%,61.6%,63.2%,43.4%,55.6%,36.9%,46.6%,0.83
Premiers,5,1,4,20.0%,4-8,33.3%,52-59,46.8%,0-1,0.0%,5,76.8%,18.5%,8.8%,4.4%,64.2%,65.9%,50.4%,60.3%,35.6%,48.7%,0.90
Internationals,44,22,22,50.0%,51-51,50.0%,491-499,49.6%,14-4,77.8%,44,66.0%,31.8%,6.3%,5.1%,64.0%,65.2%,44.1%,57.6%,42.2%,49.8%,1.00
Finals,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,1,28.6%,0.0%,6.1%,4.1%,69.4%,55.9%,13.3%,42.9%,37.9%,40.0%,0.66
Semi-finals,3,1,2,33.3%,2-4,33.3%,22-30,42.3%,0-0,-,3,51.9%,32.0%,7.1%,7.7%,60.4%,60.0%,38.9%,51.6%,40.6%,46.8%,0.84
Quarter-finals,7,3,4,42.9%,8-7,53.3%,79-83,48.8%,4-1,80.0%,7,70.0%,25.0%,6.6%,6.5%,62.7%,67.0%,44.7%,58.7%,39.5%,49.4%,0.96
vs Righties,67,30,37,44.8%,74-86,46.3%,748-804,48.2%,18-8,69.2%,67,68.1%,27.2%,6.3%,4.9%,62.9%,65.9%,44.7%,58.0%,40.1%,49.2%,0.96
vs Lefties,8,3,5,37.5%,7-10,41.2%,67-81,45.3%,0-0,-,8,62.2%,29.7%,7.0%,5.3%,64.5%,63.2%,41.0%,55.3%,41.7%,48.4%,0.93
vs Top 10,9,1,8,11.1%,4-16,20.0%,67-113,37.2%,0-1,0.0%,9,62.2%,13.5%,5.4%,3.7%,63.8%,60.7%,44.7%,54.9%,34.5%,45.0%,0.77
