Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,17,5,12,29.4%,21-28,42.9%,233-260,47.3%,4-6,40.0%,16,77.1%,18.0%,10.2%,5.1%,63.7%,72.7%,42.6%,61.8%,34.5%,48.3%,0.90
Clay,8,2,6,25.0%,6-13,31.6%,79-113,41.1%,3-1,75.0%,8,62.8%,18.1%,4.8%,4.8%,62.0%,61.9%,45.0%,55.5%,32.9%,44.7%,0.74
Grass,2,1,1,50.0%,3-5,37.5%,32-44,42.1%,1-1,50.0%,2,75.0%,10.0%,8.8%,3.5%,71.2%,71.4%,44.6%,63.7%,31.8%,47.4%,0.88
Grand Slams,8,3,5,37.5%,13-20,39.4%,141-176,44.5%,3-3,50.0%,8,75.8%,13.6%,9.5%,4.9%,63.5%,70.0%,46.2%,61.3%,32.0%,47.0%,0.83
Masters,5,2,3,40.0%,4-6,40.0%,49-61,44.5%,2-1,66.7%,5,68.5%,18.9%,8.0%,4.5%,59.9%,68.1%,41.1%,57.3%,33.2%,46.2%,0.78
Other Tours,14,3,11,21.4%,13-20,39.4%,154-180,46.1%,3-4,42.9%,13,72.4%,20.1%,8.0%,5.0%,65.9%,70.3%,41.4%,60.4%,35.8%,48.0%,0.90
Best of 5,8,3,5,37.5%,13-20,39.4%,141-176,44.5%,3-3,50.0%,8,75.8%,13.6%,9.5%,4.9%,63.5%,70.0%,46.2%,61.3%,32.0%,47.0%,0.83
Best of 3,19,5,14,26.3%,17-26,39.5%,203-241,45.7%,5-5,50.0%,18,71.4%,19.8%,8.0%,4.9%,64.3%,69.7%,41.3%,59.6%,35.2%,47.6%,0.87
vs Righties,24,5,19,20.8%,23-44,34.3%,290-371,43.9%,6-7,46.2%,23,71.4%,16.5%,8.5%,4.9%,63.4%,68.4%,43.0%,59.1%,33.4%,46.5%,0.82
vs Lefties,3,3,0,100.0%,7-2,77.8%,54-46,54.0%,2-1,66.7%,3,85.4%,21.6%,9.5%,4.8%,68.4%,79.6%,46.2%,69.0%,36.8%,52.7%,1.19
