Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,10,5,5,50.0%,7,4,3,57.1%,2022,2026,R64,10,0.89,10.1%,4.3%,64.1%,70.5%,45.5%,61.5%,34.3%,62.5%,32.0%
Roland Garros,6,Clay,8,2,6,25.0%,3,1,2,33.3%,2018,2025,R128,7,0.88,6.4%,4.1%,66.8%,68.0%,48.2%,61.4%,33.8%,59.3%,34.1%
Wimbledon,4,Grass,10,5,5,50.0%,5,2,3,40.0%,2022,2025,R64,10,0.95,9.7%,4.3%,67.8%,71.4%,48.7%,64.1%,33.9%,54.0%,40.4%
US Open,5,Hard,14,8,6,57.1%,8,4,4,50.0%,2021,2025,R64,14,1.03,9.1%,5.4%,60.4%,74.0%,46.0%,62.9%,38.3%,64.5%,41.2%
Montpellier,4,Hard,6,2,4,33.3%,3,2,1,66.7%,2023,2026,Q2,6,0.90,9.1%,5.4%,68.3%,68.2%,43.8%,60.5%,35.6%,58.3%,28.6%
Marseille,3,Hard,8,5,3,62.5%,2,1,1,50.0%,2023,2025,R16,8,1.04,10.5%,5.9%,65.0%,73.6%,45.7%,63.8%,37.7%,61.9%,43.3%
Barcelona,3,Clay,8,3,5,37.5%,4,3,1,75.0%,2022,2024,R64,8,0.91,4.1%,6.6%,67.4%,65.8%,37.9%,56.7%,39.6%,50.0%,31.4%
Miami Masters,2,Hard,4,2,2,50.0%,2,1,1,50.0%,2022,2024,Q2,4,1.08,9.2%,4.8%,65.5%,72.7%,53.2%,65.9%,36.8%,57.1%,53.8%
Indian Wells Masters,2,Hard,4,2,2,50.0%,1,0,1,0.0%,2022,2024,R128,4,1.11,13.7%,4.0%,62.8%,75.9%,36.9%,61.4%,42.8%,75.8%,39.4%
Lyon,2,Clay,2,0,2,0.0%,2,1,1,50.0%,2019,2023,Q1,2,0.83,8.9%,5.1%,60.5%,65.3%,48.4%,58.6%,34.5%,40.0%,33.3%
