Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),194,310,201,1573,192,1536,251,1438,180,1471,,,,
2025,177,328,183,1589,163,1558,250,1446,172,1479,,,,
2024,155,379,202,1556,181,1524,247,1440,147,1512,,,,
2023,175,349,238,1511,224,1473,226,1463,184,1449,,,,
2022,141,388,168,1601,168,1542,188,1516,116,1550,,,,
2021,150,450,135,1640,118,1617,206,1477,,,,,,
2020,255,214,203,1512,158,1521,248,1363,,,692,50,,
2019,268,160,342,1399,303,1383,386,1274,,,670,50,,
2018,341,66,351,1332,324,1319,336,1268,,,,,,
2017,411,94,,,,,,,,,1601,6,,
2016,490,78,,,,,,,,,615,84,,
2015,649,46,,,,,,,,,672,76,,
2014,922,15,,,,,,,,,1231,16,,
2013,1900,1,,,,,,,,,,,,
