Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2021 ITF Landisville Q2,L vs Raducanu,23.2%,33.9%,34.2%,25.0%,37.5%,44.4%,30.0%,42.9%,33.3%,25.9%,37.0%,25.0%,64.3%,53.8%,50.0%,85
2018 Chicago F,L vs Martic,9.7%,17.7%,43.1%,13.5%,21.6%,34.4%,77.8%,36.8%,37.5%,5.0%,15.0%,57.9%,80.0%,10.0%,0.0%,-73
2018 ITF Prague QF,L vs Swiatek,21.3%,27.9%,34.3%,33.3%,43.3%,45.0%,26.7%,13.3%,33.3%,16.7%,22.2%,20.0%,25.0%,20.0%,16.7%,14
2017 Biel R16,L vs Mertens,20.7%,29.3%,34.8%,30.3%,36.4%,26.1%,53.3%,38.9%,50.0%,8.0%,20.0%,43.5%,66.7%,30.8%,50.0%,-104
2017 Australian Open R32,W vs Barty,26.2%,34.6%,50.0%,32.3%,45.2%,59.5%,47.8%,46.2%,80.0%,20.0%,22.5%,37.5%,73.1%,7.1%,0.0%,30
2015 Luxembourg F,L vs Doi,23.1%,36.3%,56.3%,27.0%,41.3%,60.9%,44.4%,59.3%,60.0%,18.2%,31.8%,44.4%,100.0%,21.1%,0.0%,46
2015 Beijing R32,L vs Radwanska,17.9%,23.8%,37.5%,26.8%,36.6%,46.7%,40.0%,38.1%,100.0%,10.5%,13.2%,29.4%,55.0%,27.8%,16.7%,-12
2015 Bastad F,L vs Larsson,12.8%,16.7%,47.7%,14.9%,19.1%,42.5%,31.6%,82.1%,66.7%,10.7%,14.3%,56.0%,64.3%,57.1%,50.0%,-23
2015 Bastad QF,W vs Peterson,17.9%,24.4%,60.0%,21.6%,27.5%,62.5%,40.9%,55.2%,75.0%,13.0%,21.7%,55.0%,66.7%,42.9%,0.0%,9
2015 Antwerp QF,L vs Strycova,10.2%,16.3%,45.0%,17.9%,25.0%,34.8%,33.3%,46.2%,60.0%,0.0%,5.9%,58.8%,37.5%,11.1%,-,-119
2014 Luxembourg R32,W vs Minella,25.8%,37.9%,60.0%,28.6%,42.9%,64.0%,15.4%,36.4%,-,25.9%,37.0%,55.0%,31.3%,63.6%,66.7%,52
2014 Bastad QF,W vs Kanepi,23.4%,35.9%,56.1%,30.6%,52.8%,64.0%,42.9%,18.2%,0.0%,20.0%,20.0%,43.8%,50.0%,30.0%,0.0%,46
2014 Wimbledon R64,L vs Kvitova,25.0%,37.5%,28.1%,25.0%,41.7%,33.3%,26.3%,41.2%,40.0%,37.5%,37.5%,0.0%,0.0%,50.0%,0.0%,169
2014 Australian Open R32,L vs Pennetta,21.9%,34.2%,36.0%,21.4%,42.9%,33.3%,28.6%,28.6%,22.2%,29.2%,29.2%,41.2%,16.7%,33.3%,100.0%,137
2013 Hobart R32,W vs Barty,24.3%,45.7%,56.3%,31.4%,57.1%,50.0%,50.0%,35.3%,50.0%,20.0%,40.0%,62.5%,71.4%,52.2%,100.0%,68
2012 Hobart F,W vs Wickmayer,20.5%,40.9%,58.8%,25.0%,44.4%,63.0%,66.7%,27.8%,100.0%,0.0%,28.6%,42.9%,50.0%,20.0%,0.0%,-119
2012 Hobart SF,W vs Kerber,24.2%,38.7%,55.6%,26.8%,39.0%,53.3%,68.4%,31.8%,100.0%,21.1%,42.1%,60.0%,57.1%,0.0%,0.0%,11
Career (17 matches),,20.7%,31.2%,47.4%,25.4%,38.4%,49.1%,43.5%,42.0%,50.0%,16.8%,25.2%,44.6%,55.6%,32.4%,29.4%,44
