Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,37,23,14,62.2%,49-28,63.6%,404-299,57.5%,5-4,55.6%,37,74.9%,38.4%,9.1%,10.7%,54.8%,73.2%,46.1%,60.9%,45.3%,53.2%,1.16
Clay,22,12,10,54.5%,28-28,50.0%,275-265,50.9%,3-5,37.5%,22,64.1%,37.7%,3.4%,7.9%,54.9%,64.9%,44.5%,55.7%,45.3%,50.4%,1.02
Semi-finals,3,0,3,0.0%,1-6,14.3%,26-39,40.0%,0-1,0.0%,3,62.5%,18.8%,11.5%,7.3%,57.8%,66.7%,38.0%,54.6%,38.9%,46.5%,0.86
Quarter-finals,14,3,11,21.4%,9-22,29.0%,131-164,44.4%,1-2,33.3%,14,59.0%,28.5%,6.7%,11.7%,53.6%,65.2%,41.3%,54.1%,41.3%,47.9%,0.90
vs Righties,42,22,20,52.4%,49-44,52.7%,460-399,53.6%,4-8,33.3%,42,70.5%,35.9%,7.7%,10.1%,53.9%,70.1%,45.6%,58.8%,44.5%,51.7%,1.08
vs Lefties,6,3,3,50.0%,7-8,46.7%,69-70,49.6%,1-1,50.0%,6,58.6%,40.3%,4.1%,9.0%,53.2%,64.9%,42.7%,54.5%,46.8%,50.5%,1.03
