Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2021 ITF Landisville Q2,L vs Raducanu,0.0%,-,5.8%,50.0%,18.8%,15.0%,0.0%,30.0%,30.8%,1.8%,0.0%,76,70
2018 Chicago F,L vs Martic,0.0%,-,14.8%,62.5%,19.5%,21.9%,0.0%,7.6%,14.3%,0.5%,0.0%,139,82
2018 ITF Prague QF,L vs Swiatek,0.0%,-,5.3%,57.1%,9.1%,8.3%,0.0%,17.6%,20.0%,1.9%,33.3%,-15,36
2017 Biel R16,L vs Mertens,3.5%,100.0%,16.2%,50.0%,9.5%,15.0%,0.0%,10.8%,35.0%,1.8%,0.0%,6,-13
2017 Australian Open R32,W vs Barty,0.0%,-,5.9%,54.5%,16.0%,20.0%,0.0%,16.9%,40.9%,0.4%,0.0%,-64,-48
2015 Luxembourg F,L vs Doi,0.0%,-,12.3%,68.2%,4.3%,3.7%,0.0%,10.3%,29.2%,1.0%,33.3%,-5,22
2015 Beijing R32,L vs Radwanska,0.0%,-,21.4%,67.6%,7.6%,7.5%,0.0%,8.5%,5.3%,2.7%,11.1%,11,28
2015 Bastad F,L vs Larsson,2.6%,0.0%,14.5%,70.8%,10.6%,10.3%,0.0%,10.3%,33.3%,0.3%,0.0%,32,39
2015 Bastad QF,W vs Peterson,1.3%,100.0%,14.8%,78.9%,10.1%,7.4%,0.0%,8.1%,0.0%,0.8%,50.0%,-33,-7
2015 Antwerp QF,L vs Strycova,2.0%,100.0%,12.4%,46.2%,4.5%,0.0%,0.0%,8.2%,15.4%,1.8%,50.0%,-48,-51
2014 Luxembourg R32,W vs Minella,0.0%,-,9.1%,83.3%,15.0%,18.2%,0.0%,12.8%,28.6%,3.2%,16.7%,28,48
2014 Bastad QF,W vs Kanepi,0.0%,-,7.7%,81.8%,12.7%,13.0%,0.0%,14.8%,36.4%,3.1%,14.3%,-22,9
2014 Wimbledon R64,L vs Kvitova,0.0%,-,2.0%,100.0%,15.0%,18.2%,75.0%,17.4%,25.0%,0.0%,-,86,62
2014 Australian Open R32,L vs Pennetta,0.0%,-,7.2%,66.7%,19.0%,7.7%,0.0%,2.8%,14.3%,1.5%,50.0%,358,271
2013 Hobart R32,W vs Barty,1.5%,0.0%,19.3%,73.1%,30.2%,30.8%,0.0%,22.7%,35.0%,0.7%,100.0%,290,211
2012 Hobart F,W vs Wickmayer,0.0%,-,7.4%,100.0%,13.9%,27.8%,0.0%,13.2%,36.4%,0.5%,100.0%,-98,-65
2012 Hobart SF,W vs Kerber,0.0%,-,13.8%,70.6%,8.9%,19.0%,0.0%,20.6%,30.4%,0.0%,-,-43,-26
Career (17 matches),,0.6%,57.1%,11.5%,68.1%,12.3%,13.9%,9.1%,12.9%,26.4%,1.3%,23.4%,22,31
