Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2006 Monte Carlo SF,L vs Nadal,3.1%,66.7%,22.7%,65.0%,4.0%,7.4%,2.1%,8.4%,28.6%,2.9%,11.8%,-69,-78
2005 Masters Cup SF,L vs Federer,0.0%,-,2.5%,100.0%,3.6%,4.0%,0.0%,8.1%,42.9%,0.7%,0.0%,-117,-63
2005 Masters Cup RR,W vs Gonzalez,2.1%,0.0%,18.4%,58.8%,18.1%,11.8%,33.3%,17.6%,43.8%,1.5%,0.0%,-35,-46
2005 Masters Cup RR,W vs Puerta,7.8%,50.0%,11.1%,64.3%,25.7%,53.8%,0.0%,23.9%,33.3%,4.1%,33.3%,80,104
2005 Stuttgart F,L vs Nadal,4.6%,80.0%,24.5%,66.0%,6.0%,7.5%,7.1%,5.8%,16.0%,4.2%,30.4%,-35,-51
2004 Masters Cup RR,L vs Hewitt,0.0%,-,6.5%,66.7%,5.4%,11.1%,0.0%,9.4%,37.5%,2.8%,20.0%,-57,-22
2004 Masters Cup RR,L vs Federer,1.2%,0.0%,13.4%,63.2%,7.6%,10.4%,0.0%,6.0%,36.4%,1.4%,0.0%,-104,-95
2004 Kitzbuhel F,L vs Massu,2.5%,0.0%,11.4%,78.9%,5.4%,9.3%,0.0%,5.9%,5.9%,3.1%,33.3%,-31,-41
2004 Stuttgart F,L vs Canas,5.7%,62.5%,19.8%,66.1%,7.3%,7.0%,5.6%,10.3%,37.1%,3.2%,18.2%,-34,-60
2004 Roland Garros F,W vs Coria,0.7%,0.0%,12.7%,50.0%,6.1%,7.1%,0.0%,4.3%,5.0%,1.9%,33.3%,-89,-70
2004 Roland Garros SF,W vs Nalbandian,1.2%,100.0%,11.2%,72.7%,6.8%,6.7%,0.0%,9.2%,42.9%,1.0%,20.0%,-109,-105
2003 Roland Garros R32,L vs Kuerten,0.0%,-,9.9%,75.9%,9.4%,11.7%,0.0%,10.8%,33.3%,3.7%,35.0%,-28,-27
2003 Hamburg SF,L vs Coria,1.2%,0.0%,18.0%,60.6%,5.1%,6.3%,0.0%,2.3%,20.0%,2.5%,35.7%,-94,-103
2003 Hamburg R16,W vs Nadal,0.0%,-,11.4%,70.0%,17.6%,29.2%,5.9%,6.5%,25.0%,2.8%,20.0%,-45,-21
2002 Davis Cup World Group SF RR,L vs Kafelnikov,3.7%,28.6%,7.5%,63.0%,13.7%,22.9%,0.0%,10.3%,24.4%,0.7%,0.0%,-48,-45
2000 Monte Carlo SF,L vs Hrbaty,3.4%,66.7%,6.0%,75.0%,3.9%,4.4%,16.7%,8.2%,18.8%,2.6%,20.0%,-103,-90
Career (16 matches),,2.5%,47.4%,13.4%,65.3%,7.5%,10.3%,4.6%,8.3%,27.0%,2.5%,24.4%,-62,-60
