Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2006 Monte Carlo SF,L vs Nadal,55% (6/11),38% (3/8),1/2,0/0,65% (13/20),1/3,0/1,- (0/0),- (0/0)
2005 Masters Cup SF,L vs Federer,0% (0/1),0% (0/1),0/0,0/0,40% (4/10),2/4,0/1,- (0/0),- (0/0)
2005 Masters Cup RR,W vs Puerta,83% (10/12),43% (3/7),2/2,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2005 Masters Cup RR,W vs Gonzalez,55% (11/20),31% (4/13),2/3,1/1,44% (4/9),3/4,3/3,- (0/0),- (0/0)
2005 Stuttgart F,L vs Nadal,53% (8/15),40% (2/5),0/0,0/0,71% (15/21),1/4,0/1,- (0/0),- (0/0)
2004 Masters Cup RR,L vs Hewitt,43% (3/7),0% (0/1),0/0,0/0,33% (2/6),1/3,1/2,- (0/0),- (0/0)
2004 Masters Cup RR,L vs Federer,54% (7/13),- (0/0),0/0,0/0,86% (12/14),0/2,0/1,60% (3/5),17% (1/6)
2004 Kitzbuhel F,L vs Massu,53% (8/15),18% (2/11),0/0,0/0,63% (5/8),2/4,0/1,20% (1/5),40% (2/5)
2004 Stuttgart F,L vs Canas,46% (11/24),37% (7/19),2/4,0/0,50% (10/20),1/4,0/1,- (0/0),- (0/0)
2004 Roland Garros F,W vs Coria,48% (12/25),73% (11/15),3/4,1/1,52% (12/23),3/5,2/2,- (0/0),- (0/0)
2004 Roland Garros SF,W vs Nalbandian,75% (9/12),56% (9/16),3/7,1/2,56% (5/9),2/2,0/0,67% (4/6),50% (3/6)
2003 Hamburg SF,L vs Coria,46% (6/13),43% (3/7),1/3,0/0,36% (4/11),2/4,0/1,80% (4/5),60% (3/5)
2002 Davis Cup RR,L vs Kafelnikov,34% (17/50),38% (9/24),2/5,0/2,57% (12/21),3/6,0/1,- (0/0),- (0/0)
2000 Monte Carlo SF,L vs Hrbaty,75% (9/12),36% (4/11),1/3,0/0,40% (4/10),3/5,3/4,- (0/0),- (0/0)
2006 (1 matches),,54.5%,37.5%,50.0%,-,65.0%,33.3%,0.0%,-,-
2005 (4 matches),,60.4%,34.6%,80.0%,100.0%,58.1%,50.0%,60.0%,-,-
2004 (6 matches),,52.1%,46.8%,53.3%,66.7%,57.5%,45.0%,42.9%,50.0%,35.3%
2003 (1 matches),,46.2%,42.9%,33.3%,-,36.4%,50.0%,0.0%,80.0%,60.0%
2002 (1 matches),,34.0%,37.5%,40.0%,0.0%,57.1%,50.0%,0.0%,-,-
Career (14 matches),,50.9%,41.3%,51.5%,57.1%,56.2%,48.0%,47.4%,57.1%,40.9%
