Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2006 Monte Carlo Masters SF,L vs Nadal,23,48,0.5,13.1%,27.3%,23,45,0.5,13.4%,26.2%,5.2%,8.1%,1.2,14.8%,12.5%
2005 Masters Cup SF,L vs Federer,3,21,0.1,3.8%,26.3%,3,12,0.3,4.5%,18.2%,1.5%,3.0%,1.4,27.5%,20.0%
2005 Masters Cup RR,W vs Gonzalez,25,28,0.9,13.7%,15.3%,24,19,1.3,15.5%,12.3%,9.7%,5.8%,1.0,22.4%,23.5%
2005 Masters Cup RR,W vs Puerta,32,17,1.9,25.4%,13.5%,22,13,1.7,20.8%,12.3%,8.5%,11.3%,0.9,13.5%,14.3%
2005 Stuttgart F,L vs Nadal,40,45,0.9,19.6%,22.1%,36,44,0.8,18.6%,22.7%,13.4%,5.2%,2.1,18.6%,8.8%
2004 Masters Cup RR,L vs Hewitt,11,23,0.5,11.8%,24.7%,9,18,0.5,11.4%,22.8%,3.8%,7.6%,2.2,21.5%,9.7%
2004 Masters Cup RR,L vs Federer,11,19,0.6,7.7%,13.4%,10,16,0.6,7.7%,12.3%,4.6%,3.1%,1.8,26.1%,14.8%
2004 Kitzbuhel F,L vs Massu,17,43,0.4,10.2%,25.9%,15,42,0.4,9.6%,26.8%,5.1%,4.5%,0.9,16.3%,18.7%
2004 Stuttgart F,L vs Canas,50,56,0.9,17.7%,19.8%,49,55,0.9,18.8%,21.1%,10.3%,8.4%,1.0,14.1%,14.8%
2004 Roland Garros F,W vs Coria,32,72,0.4,11.3%,25.4%,30,63,0.5,11.5%,24.0%,7.3%,4.2%,0.5,13.0%,25.7%
2004 Roland Garros SF,W vs Nalbandian,23,24,1.0,11.9%,12.4%,22,23,1.0,11.9%,12.4%,9.7%,2.2%,0.5,15.5%,28.4%
2003 Roland Garros R32,L vs Kuerten,51,58,0.9,19.0%,21.6%,47,50,0.9,19.3%,20.6%,9.9%,9.5%,1.0,17.5%,17.5%
2003 Hamburg Masters SF,L vs Coria,24,41,0.6,13.1%,22.4%,22,40,0.6,12.5%,22.7%,9.7%,2.8%,0.9,17.5%,18.6%
2003 Hamburg Masters R16,W vs Nadal,17,13,1.3,20.7%,15.9%,14,12,1.2,18.7%,16.0%,16.0%,2.7%,0.3,8.5%,26.8%
2002 Davis Cup RR,L vs Kafelnikov,53,64,0.8,14.6%,17.7%,43,58,0.7,13.6%,18.3%,7.6%,4.4%,0.7,16.9%,24.3%
2000 Monte Carlo Masters SF,L vs Hrbaty,21,41,0.5,10.6%,20.6%,18,37,0.5,9.7%,20.0%,4.9%,4.9%,0.8,17.1%,21.6%
Career (16 matches),,433,613,0.7,14.3%,20.3%,387,547,0.7,14.0%,19.8%,8.2%,5.6%,0.9,17.1%,19.2%
