Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Hong Kong QF,L vs Joint,63% (10/16),50% (4/8),1/1,0/0,50% (4/8),1/3,1/2,- (0/0),- (0/0)
2024 W50 Dallas TX R32,L vs Blokhina,78% (7/9),- (0/0),0/0,0/0,50% (3/6),2/4,0/1,- (0/0),- (0/0)
2022 Granby R32,L vs Paolini,75% (9/12),25% (1/4),0/0,0/0,33% (1/3),3/5,1/2,43% (3/7),43% (3/7)
2019 W60 Fukuoka Q2,W vs Hanatani,50% (2/4),8% (1/13),0/0,0/0,25% (2/8),0/2,0/1,- (0/0),- (0/0)
2019 W15 Xiamen QF,L vs Tauson,25% (2/8),25% (1/4),0/0,0/0,29% (2/7),0/2,0/1,- (0/0),- (0/0)
2019 W15 Xiamen R32,W vs Furuya,38% (8/21),60% (9/15),2/2,1/1,17% (1/6),0/1,0/0,- (0/0),- (0/0)
2025 (1 matches),,62.5%,50.0%,100.0%,-,50.0%,33.3%,50.0%,-,-
2024 (1 matches),,77.8%,-,-,-,50.0%,50.0%,0.0%,-,-
2022 (1 matches),,75.0%,25.0%,-,-,33.3%,60.0%,50.0%,42.9%,42.9%
2019 (3 matches),,36.4%,34.4%,100.0%,100.0%,23.8%,0.0%,0.0%,-,-
Career (6 matches),,54.3%,36.4%,100.0%,100.0%,34.2%,35.3%,28.6%,42.9%,42.9%
