Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-09-16),989,18,,,,,,,,,,,,
2023,475,110,,,,,,,,,,,,
2022,1061,11,,,,,,,,,,,,
2021,461,108,,,,,,,,,,,,
2020,416,113,,,,,,,,,331,234,,
2019,421,103,,,,,,,,,277,266,,
2018,400,82,,,,,,,,,312,204,,
2017,278,189,,,,,,,,,322,185,,
2016,477,66,,,,,,,,,450,102,,
2015,406,80,,,,,,,,,769,31,,
2014,547,43,,,,,,,,,362,125,,
2013,364,122,,,,,,,,,329,187,,
2012,556,49,,,,,,,,,,,,
2011,970,12,,,,,,,,,,,,
2010,,,,,,,,,,,1065,3,,
