Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2006 Wimbledon QF,W vs Stepanek,1.08,1.13,58.4,24.5,5.2%,69.1%,6.3%,63.3%,35.9%,34.5%
2003 Marseille F,L vs Federer,0.95,0.64,48.4,2.1,11.6%,55.8%,8.1%,59.5%,34.4%,22.6%
1998 Stuttgart SF,L vs Kafelnikov,0.93,0.71,53.9,2.2,0.0%,50.0%,3.2%,61.3%,36.4%,31.0%
1998 US Open QF,L vs Rafter,0.86,0.62,28.5,2.1,0.0%,60.4%,2.3%,52.3%,18.8%,44.4%
1997 Tour Finals SF,L vs Sampras,0.93,0.59,40.1,2.2,0.0%,55.9%,0.0%,58.1%,31.3%,23.3%
1997 Paris SF,W vs Enqvist,1.31,1.20,64.3,2.9,5.6%,59.3%,11.5%,65.4%,38.5%,30.3%
1997 Stuttgart SF,L vs Krajicek,0.87,0.71,50.3,2.4,4.9%,75.6%,0.0%,62.2%,24.4%,25.7%
1997 US Open SF,L vs Rusedski,0.84,0.84,50.4,5.1,4.5%,66.7%,0.0%,63.3%,41.8%,27.4%
1997 Indian Wells SF,L vs Ulihrach,0.69,0.54,35.5,2.2,3.8%,53.8%,9.1%,50.0%,28.1%,46.7%
1995 Miami SF,L vs Sampras,1.06,0.65,42.8,4.0,0.0%,56.8%,6.5%,35.5%,26.3%,38.9%
2006 (1 matches),,1.08,1.13,58.4,24.5,5.2%,69.1%,6.3%,63.3%,35.9%,34.5%
2003 (1 matches),,0.95,0.64,48.4,2.1,11.6%,55.8%,8.1%,59.5%,34.4%,22.6%
1998 (2 matches),,0.89,0.65,38.9,2.1,0.0%,56.0%,2.7%,56.0%,25.9%,39.2%
1997 (5 matches),,0.94,0.80,49.8,2.7,4.1%,63.3%,4.0%,61.4%,34.1%,30.0%
1995 (1 matches),,1.06,0.65,42.8,4.0,0.0%,56.8%,6.5%,35.5%,26.3%,38.9%
Career (10 matches),,0.97,0.80,48.9,2.8,3.9%,62.0%,4.7%,58.7%,32.4%,32.8%
