Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2013,,,,,,,,,,,411,150,,
2008,172,248,105,1694,100,1636,128,1600,45,1697,9,3140,6,1854
2007,59,595,83,1707,94,1633,118,1607,31,1728,15,2675,13,1815
2006,54,723,69,1740,69,1670,118,1593,24,1748,4,5775,4,1951
2005,62,588,54,1789,48,1733,88,1642,31,1734,3,5490,6,1893
2004,70,575,54,1804,45,1753,82,1666,21,1757,3,4490,4,1918
2003,30,1068,34,1866,36,1790,60,1719,13,1810,6,4045,14,1822
2002,48,745,53,1816,53,1757,96,1656,16,1788,6,3940,10,1845
2001,60,605,56,1818,53,1753,81,1701,22,1765,1,4135,,
2000,44,845,44,1855,36,1793,55,1753,15,1792,26,1915,,
1999,73,639,33,1871,29,1833,56,1774,17,1798,3,3623,,
1998,24,1439,13,1977,14,1925,39,1831,9,1875,8,3202,,
1997,4,2949,3,2074,4,2027,27,1889,10,1866,17,2240,,
1996,69,710,72,1807,62,1761,67,1772,54,1698,12,2513,,
1995,30,,54,1836,33,1823,80,1735,47,1715,26,1662,,
1994,50,,54,1836,37,1823,76,1732,34,1746,9,3077,,
1993,96,,40,1873,31,1847,116,1667,58,1676,56,1061,,
1992,333,,,,,,,,,,199,269,,
1991,700,,,,,,,,,,408,67,,
