Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2006 Wimbledon SF,L vs Federer,19.0%,28.6%,37.8%,25.1%,22.2%,33.3%,39.3%,32.8%,21.1%,17.6%,0.0%,19.0%,28.6%,35.3%,53
2006 Wimbledon QF,W vs Stepanek,29.0%,36.4%,55.5%,35.3%,38.8%,47.6%,58.7%,49.6%,42.2%,24.1%,25.0%,16.4%,22.4%,51.8%,45
2003 Marseille F,L vs Federer,35.0%,46.3%,36.0%,43.6%,37.3%,52.5%,40.5%,49.0%,36.0%,26.5%,16.7%,31.6%,31.6%,23.1%,65
1998 Stuttgart SF,L vs Kafelnikov,22.4%,28.4%,44.0%,28.2%,21.4%,28.6%,48.5%,30.7%,50.0%,33.3%,20.0%,26.1%,30.4%,35.3%,42
1998 US Open QF,L vs Rafter,23.9%,31.5%,42.4%,28.7%,27.3%,33.3%,41.7%,33.9%,44.8%,29.7%,0.0%,18.2%,31.8%,44.4%,-13
1997 Tour Finals SF,L vs Sampras,13.8%,29.2%,52.8%,20.0%,17.1%,40.0%,55.2%,28.6%,44.4%,52.9%,100.0%,11.1%,18.5%,50.0%,-8
1997 Paris F,L vs Sampras,20.0%,30.5%,47.2%,24.7%,38.5%,61.5%,58.3%,50.0%,36.8%,55.0%,80.0%,12.1%,15.2%,37.9%,-2
1997 Paris SF,W vs Enqvist,34.0%,41.5%,44.1%,40.1%,37.7%,49.2%,44.7%,48.4%,57.6%,35.7%,66.7%,30.2%,32.6%,43.3%,-12
1997 Stuttgart SF,L vs Krajicek,24.4%,48.7%,66.0%,32.4%,30.2%,51.2%,60.0%,44.9%,30.8%,52.9%,0.0%,20.7%,55.2%,73.9%,70
1997 Grand Slam Cup QF,L vs Sampras,39.2%,41.8%,45.0%,40.6%,55.6%,57.8%,30.0%,58.0%,22.7%,34.8%,50.0%,23.1%,26.9%,60.0%,88
1997 US Open SF,L vs Rusedski,26.2%,41.3%,53.3%,37.8%,32.5%,52.5%,55.6%,50.8%,56.8%,25.6%,50.0%,15.6%,22.2%,50.0%,-46
1997 Indian Wells SF,L vs Ulihrach,25.0%,35.4%,43.3%,29.2%,42.3%,57.7%,53.3%,50.0%,38.5%,38.5%,0.0%,6.3%,12.5%,33.3%,-68
1995 Miami SF,L vs Sampras,13.2%,26.5%,40.4%,19.4%,25.0%,43.8%,37.5%,38.1%,15.4%,36.8%,50.0%,2.9%,11.8%,42.4%,-87
1994 US Open QF,L vs Stich,23.8%,38.9%,47.4%,33.1%,29.9%,52.2%,48.9%,47.3%,37.9%,34.2%,75.0%,25.6%,35.9%,44.8%,62
Career (14 matches),,25.7%,36.7%,47.9%,32.4%,33.2%,47.4%,49.0%,44.8%,40.5%,33.0%,37.7%,18.5%,26.6%,46.4%,65
