Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Liberec CH R64,L vs Maamoun,40.0%,45.0%,37.1%,42.7%,57.1%,62.9%,46.7%,61.7%,41.2%,44.4%,75.0%,16.7%,20.8%,30.0%,-19
2019 Prostejov CH R64,L vs Maamoun,32.1%,39.5%,35.3%,34.6%,52.8%,63.9%,41.2%,58.3%,31.6%,41.2%,50.0%,17.1%,22.0%,32.4%,53
2016 Banja Luka CH F,W vs Zekic,21.6%,43.2%,59.6%,30.7%,29.5%,54.5%,54.8%,44.8%,25.0%,42.9%,100.0%,10.3%,27.6%,65.4%,-29
2016 Scheveningen CH SF,W vs Reuter,26.6%,41.8%,48.1%,32.4%,37.5%,54.2%,50.0%,47.1%,28.6%,40.7%,100.0%,11.1%,25.9%,45.8%,-12
2016 Cherbourg CH R16,W vs Ramanathan,31.9%,42.6%,65.6%,38.7%,35.5%,48.4%,55.0%,45.8%,46.7%,25.0%,-,25.0%,31.3%,83.3%,-79
2014 Poznan CH SF,L vs Goffin,20.8%,20.8%,36.6%,27.5%,26.3%,26.3%,39.3%,35.8%,35.3%,42.9%,66.7%,7.1%,7.1%,30.8%,-45
Career (6 matches),,28.7%,39.3%,47.0%,34.2%,39.2%,51.7%,48.2%,48.6%,34.3%,40.2%,77.8%,14.6%,23.2%,45.7%,24
