Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2022 Strasbourg R32,L vs Juvan,15.5%,31.0%,36.2%,8.8%,29.4%,45.2%,29.4%,29.4%,33.3%,27.3%,36.4%,18.8%,36.4%,18.2%,50.0%,-3
Career (1 matches),,15.5%,31.0%,36.2%,8.8%,29.4%,45.2%,29.4%,29.4%,33.3%,27.3%,36.4%,18.8%,36.4%,18.2%,50.0%,-3
