Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2010,478,67,,,,,,,,,219,309,,
2009,95,547,27,1895,22,1855,44,1777,,,697,50,,
2008,36,900,36,1852,38,1786,30,1808,15,1801,135,435,20,1781
2007,83,480,28,1885,27,1819,,,,,,,,
2006,9,2060,15,1928,24,1828,10,1916,7,1885,89,605,12,1822
2005,21,1360,32,1857,31,1798,34,1794,10,1807,76,760,14,1820
2004,29,1061,52,1806,73,1693,70,1704,24,1753,112,486,18,1796
2003,74,475,113,1674,111,1607,187,1503,93,1575,76,701,36,1678
2002,89,448,74,1760,108,1630,198,1491,42,1689,251,171,,
2001,294,111,279,1448,269,1401,290,1358,,,365,111,,
2000,547,33,,,,,,,,,831,22,,
1999,1037,5,,,,,,,,,1357,1,,
