Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2008 Canada R64,L vs Dancevic,7.0%,75.0%,15.3%,88.9%,16.7%,22.7%,14.3%,8.1%,33.3%,0.0%,-,-29,35
2008 Wimbledon QF,L vs Federer,60.5%,55.8%,38.6%,54.7%,14.9%,11.8%,40.0%,3.6%,20.0%,0.8%,100.0%,-1,33
2008 Roland Garros R32,L vs Federer,12.3%,77.8%,16.4%,58.3%,12.8%,10.5%,21.4%,1.5%,14.3%,0.4%,0.0%,-58,-62
2008 Miami R64,W vs Murray,15.7%,57.1%,19.0%,61.1%,7.8%,11.1%,10.0%,6.2%,23.1%,0.8%,0.0%,-47,-41
2008 Marseille F,L vs Murray,16.4%,66.7%,30.4%,66.7%,8.8%,10.7%,8.7%,2.3%,0.0%,1.2%,0.0%,-29,-51
2006 Wimbledon QF,L vs Federer,32.9%,58.3%,30.5%,54.9%,19.4%,0.0%,0.0%,24.2%,0.0%,0.6%,100.0%,-37,4
2006 Roland Garros QF,L vs Federer,17.5%,52.9%,22.0%,69.0%,10.2%,11.8%,18.2%,6.8%,36.4%,1.0%,33.3%,0,-2
2006 Hamburg SF,L vs Robredo,8.6%,66.7%,28.6%,61.4%,9.0%,9.8%,0.0%,0.0%,0.0%,1.0%,25.0%,-69,-59
2006 Rome QF,L vs Nalbandian,27.3%,73.3%,19.6%,63.6%,8.6%,16.7%,14.3%,0.0%,0.0%,1.9%,0.0%,-20,16
2005 Cincinnati R16,L vs Hewitt,30.0%,33.3%,12.0%,40.0%,0.0%,0.0%,0.0%,3.8%,20.0%,0.0%,-,13,22
2004 Wimbledon SF,L vs Roddick,77.0%,63.8%,39.9%,63.8%,17.3%,33.3%,0.0%,7.7%,33.3%,0.0%,-,52,33
2002 Wimbledon R128,W vs Federer,52.7%,75.0%,31.8%,70.2%,18.8%,33.3%,0.0%,4.3%,0.0%,0.0%,-,22,39
Career (12 matches),,33.5%,63.1%,27.0%,62.9%,11.3%,13.4%,11.9%,4.7%,17.9%,0.8%,20.0%,-23,-9
