Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Indian Wells R128,L vs Gibson,25.4%,31.3%,36.0%,40.5%,48.6%,31.8%,42.9%,37.5%,50.0%,6.7%,10.0%,39.3%,7.1%,62.5%,66.7%,-104
2025 Guangzhou F,W vs Sun,27.2%,33.3%,50.9%,34.0%,44.7%,51.6%,29.2%,34.8%,33.3%,18.8%,18.8%,50.0%,100.0%,17.4%,25.0%,-33
2025 Cleveland F,L vs Cirstea,17.2%,32.8%,46.2%,15.8%,39.5%,59.4%,44.4%,35.0%,50.0%,20.0%,24.0%,25.0%,7.1%,90.9%,100.0%,-57
2025 Singapore F,L vs Mertens,13.8%,19.0%,42.9%,24.2%,33.3%,48.0%,78.6%,42.1%,60.0%,0.0%,0.0%,37.5%,8.3%,75.0%,33.3%,-119
2025 Australian Open R128,L vs Keys,41.0%,47.5%,38.2%,48.9%,57.8%,47.8%,38.9%,37.0%,50.0%,21.4%,21.4%,18.2%,0.0%,83.3%,-,47
2025 Auckland R16,L vs Volynets,9.5%,19.0%,42.9%,11.4%,22.9%,51.6%,58.3%,26.1%,0.0%,7.4%,14.8%,32.0%,5.9%,70.0%,100.0%,-61
2024 Merida F,L vs Sonmez,13.1%,21.3%,34.6%,15.0%,25.0%,32.4%,52.6%,52.4%,57.1%,10.0%,15.0%,38.9%,9.1%,88.9%,100.0%,-46
2024 Merida SF,W vs Kudermetova,24.4%,33.7%,48.3%,27.3%,38.2%,60.0%,58.3%,58.1%,75.0%,23.1%,30.8%,25.0%,9.1%,66.7%,100.0%,91
2023 US Open Q1,L vs Martinez Cirez,22.1%,39.7%,60.8%,31.0%,50.0%,69.0%,68.2%,50.0%,50.0%,8.3%,25.0%,50.0%,0.0%,93.3%,100.0%,-30
2023 Cincinnati R32,L vs Sabalenka,26.3%,36.8%,49.3%,28.1%,42.1%,53.7%,37.9%,35.7%,50.0%,25.7%,31.4%,42.3%,14.3%,85.7%,-,-9
2021 Tenerife F,W vs Osorio,17.5%,28.1%,53.2%,16.7%,28.6%,60.0%,52.9%,40.0%,0.0%,20.0%,26.7%,33.3%,11.1%,50.0%,0.0%,-104
2021 Roland Garros R64,L vs Svitolina,15.6%,21.9%,39.2%,18.2%,27.3%,44.4%,53.8%,44.4%,25.0%,11.8%,11.8%,26.7%,16.7%,45.5%,50.0%,-4
2021 Monterrey R32,W vs Rus,29.0%,37.7%,59.5%,44.7%,55.3%,66.7%,52.6%,26.3%,0.0%,12.5%,20.8%,52.4%,0.0%,57.1%,100.0%,0
2021 Australian Open R32,L vs Sabalenka,21.1%,33.3%,35.6%,21.6%,40.5%,44.8%,66.7%,21.1%,16.7%,20.0%,20.0%,18.8%,20.0%,60.0%,50.0%,-104
2021 Grampians Trophy SF,W vs Brady,27.2%,40.2%,55.4%,28.6%,44.6%,57.5%,52.0%,48.4%,33.3%,26.5%,35.3%,52.0%,27.3%,47.8%,100.0%,-37
2021 Grampians Trophy QF,W vs Cirstea,45.5%,54.5%,47.8%,51.9%,66.7%,53.8%,66.7%,33.3%,-,37.5%,37.5%,40.0%,57.1%,55.6%,100.0%,-33
2020 ITF Tyler F,W vs Kostyuk,17.0%,22.3%,44.2%,20.7%,24.1%,45.7%,50.0%,39.3%,0.0%,11.4%,20.0%,41.9%,12.5%,68.4%,100.0%,-70
2020 Australian Open Q1,W vs Sherif,19.4%,43.5%,63.3%,23.3%,53.5%,72.7%,38.1%,50.0%,100.0%,11.1%,22.2%,43.8%,40.0%,69.2%,-,-40
2019 ITF Concord F,L vs Dolehide,15.1%,20.5%,45.2%,12.8%,14.9%,46.3%,28.6%,34.6%,20.0%,19.2%,30.8%,42.9%,30.8%,84.6%,66.7%,-104
2019 ITF Concord SF,W vs Arconada,24.7%,30.6%,43.3%,35.3%,43.1%,48.5%,52.4%,43.3%,71.4%,10.0%,13.3%,37.0%,17.6%,84.6%,33.3%,-17
Last 52 Weeks (3 matches),,23.6%,32.5%,44.7%,30.3%,44.3%,49.4%,38.1%,35.6%,42.9%,14.9%,17.2%,39.2%,29.7%,48.0%,60.0%,-64
Career (21 matches),,22.2%,31.6%,46.5%,26.8%,38.6%,51.6%,50.6%,39.6%,38.4%,15.7%,21.9%,38.7%,18.3%,67.1%,66.7%,-18
