Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,16,9,7,56.3%,7,4,3,57.1%,2020,2026,R32,16,1.00,2.9%,3.4%,62.5%,64.8%,45.8%,57.6%,42.5%,55.6%,48.2%
Roland Garros,5,Clay,8,3,5,37.5%,4,2,2,50.0%,2020,2025,R64,8,1.04,4.0%,2.4%,61.5%,59.9%,51.4%,56.6%,45.3%,53.7%,50.0%
Wimbledon,6,Grass,9,3,6,33.3%,2,1,1,50.0%,2019,2025,R64,9,0.92,4.1%,3.8%,59.5%,60.0%,44.7%,53.8%,42.7%,50.7%,42.2%
US Open,9,Hard,19,10,9,52.6%,2,1,1,50.0%,2017,2025,R16,18,1.05,4.5%,3.6%,61.1%,64.2%,48.9%,58.3%,44.0%,50.4%,38.7%
Miami,4,Hard,7,3,4,42.9%,1,0,1,0.0%,2018,2026,R32,7,0.97,4.5%,2.9%,62.5%,62.4%,51.1%,58.2%,40.7%,61.8%,41.7%
Indian Wells,6,Hard,7,1,6,14.3%,1,1,0,100.0%,2018,2026,R64,7,0.80,4.8%,3.2%,58.2%,62.1%,42.7%,54.0%,36.9%,51.4%,34.7%
Merida,2,Hard,6,4,2,66.7%,1,0,1,0.0%,2024,2026,F,6,1.18,3.2%,2.7%,65.3%,65.4%,44.3%,58.1%,49.5%,56.1%,54.9%
Dubai,3,Hard,3,0,3,0.0%,0,0,0,-,2022,2026,R64,3,0.86,7.9%,5.1%,56.0%,62.0%,45.3%,54.6%,38.9%,48.1%,35.3%
Doha,2,Hard,5,3,2,60.0%,2,0,2,0.0%,2022,2026,R16,5,1.04,7.3%,2.9%,59.7%,68.4%,45.5%,59.2%,42.6%,51.4%,48.8%
Hobart,2,Hard,6,4,2,66.7%,0,0,0,-,2025,2026,R16,6,1.15,4.8%,2.6%,61.1%,67.2%,45.9%,58.9%,47.4%,58.8%,50.0%
