Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,29,10,19,34.5%,24-39,38.1%,265-321,45.2%,2-2,50.0%,29,60.3%,31.3%,1.7%,4.2%,60.4%,60.4%,45.7%,54.6%,40.8%,47.8%,0.90
Clay,7,2,5,28.6%,6-11,35.3%,75-94,44.4%,2-3,40.0%,7,57.3%,31.7%,2.1%,4.3%,63.5%,60.4%,43.0%,54.1%,42.1%,47.8%,0.92
Grass,9,4,5,44.4%,8-11,42.1%,79-90,46.7%,1-0,100.0%,9,64.0%,29.8%,1.7%,2.2%,66.9%,60.2%,48.3%,56.3%,41.7%,48.9%,0.95
Grand Slams,12,4,8,33.3%,8-17,32.0%,103-138,42.7%,1-1,50.0%,12,58.6%,28.2%,1.4%,3.9%,62.4%,57.6%,46.4%,53.4%,39.8%,46.5%,0.85
Premiers,9,3,6,33.3%,8-13,38.1%,91-105,46.4%,0-1,0.0%,9,56.8%,39.1%,1.7%,4.0%,61.6%,57.8%,45.9%,53.2%,43.0%,48.3%,0.92
Internationals,23,9,14,39.1%,22-29,43.1%,217-249,46.6%,4-2,66.7%,23,63.6%,29.1%,2.0%,3.9%,62.1%,62.8%,46.2%,56.5%,41.0%,48.8%,0.94
Quarter-finals,3,0,3,0.0%,1-6,14.3%,25-43,36.8%,1-0,100.0%,3,60.6%,11.8%,1.8%,3.1%,57.3%,60.5%,49.0%,55.6%,29.5%,43.6%,0.66
vs Righties,42,15,27,35.7%,36-57,38.7%,391-472,45.3%,5-3,62.5%,42,60.6%,30.7%,1.8%,3.9%,62.1%,60.2%,46.3%,54.9%,41.1%,48.1%,0.91
vs Lefties,3,1,2,33.3%,2-4,33.3%,28-33,45.9%,0-2,0.0%,3,58.6%,36.7%,1.5%,4.1%,62.8%,62.6%,35.6%,52.6%,42.3%,47.2%,0.89
vs Top 10,3,0,3,0.0%,0-6,0.0%,21-38,35.6%,0-1,0.0%,3,52.6%,20.0%,2.2%,6.0%,61.5%,58.0%,42.9%,52.2%,34.9%,43.0%,0.73
