Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-10-17),1053,12,,,,,,,,,,,,
2021,,,206,1489,183,1484,235,1369,133,1487,,,,
2020,108,703,113,1621,109,1593,132,1494,,,280,291,,
2019,94,699,95,1707,92,1665,141,1555,90,1594,260,291,,
2018,200,298,138,1616,134,1590,152,1509,108,1531,345,173,,
2018,200,298,138,1616,134,1590,152,1509,108,1531,345,173,,
2017,112,582,139,1599,152,1523,116,1566,98,1565,301,215,,
2016,230,223,,,,,,,,,391,128,,
2015,207,249,,,,,,,,,411,111,,
2014,637,29,,,,,,,,,698,32,,
2012,559,48,,,,,,,,,633,48,,
2010,513,60,,,,,,,,,465,91,,
2009,345,112,,,,,,,,,,,,
2008,451,45,,,,,,,,,,,,
