Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2019 Taipei QF,L vs Babos,18.5%,25.9%,48.4%,19.6%,32.6%,48.6%,54.5%,29.2%,33.3%,18.2%,18.2%,48.1%,85.7%,31.6%,0.0%,-68
Career (1 matches),,18.5%,25.9%,48.4%,19.6%,32.6%,48.6%,54.5%,29.2%,33.3%,18.2%,18.2%,48.1%,85.7%,31.6%,0.0%,-68
