Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,11,6,5,54.5%,13-10,56.5%,103-103,50.0%,1-0,100.0%,11,67.0%,32.4%,3.0%,3.2%,62.0%,62.4%,48.1%,57.0%,43.4%,50.1%,1.01,SF (W75 Nonthaburi)
2025,42,25,17,59.5%,51-42,54.8%,451-410,52.4%,7-3,70.0%,39,61.2%,41.8%,3.9%,3.8%,66.2%,60.7%,46.8%,56.0%,46.1%,50.9%,1.05,W (W35 Timaru)
2024,30,11,19,36.7%,32-42,43.2%,344-364,48.6%,4-6,40.0%,0,,,,,,,,,,,,QF (W35 Nottingham)
2023,22,11,11,50.0%,23-26,46.9%,214-217,49.7%,3-1,75.0%,1,40.0%,40.0%,2.9%,5.7%,65.7%,50.0%,37.5%,45.7%,48.8%,47.3%,0.90,SF (W25 Swan Hill)
2022,44,23,21,52.3%,57-50,53.3%,502-487,50.8%,6-2,75.0%,0,,,,,,,,,,,,F (2x)
2021,24,9,15,37.5%,21-33,38.9%,218-266,45.0%,1-1,50.0%,0,,,,,,,,,,,,QF (3x)
2020,5,2,3,40.0%,4-7,36.4%,49-58,45.8%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
2019,48,27,21,56.3%,60-56,51.7%,564-539,51.1%,3-10,23.1%,3,65.9%,34.9%,1.5%,2.3%,65.5%,56.1%,55.6%,55.9%,42.8%,49.2%,0.97,W (W25 Mildura)
2018,41,18,23,43.9%,41-52,44.1%,418-454,47.9%,7-7,50.0%,1,28.6%,12.5%,3.4%,8.5%,62.7%,48.6%,36.4%,44.1%,33.3%,39.3%,0.60,SF (Darwin $60K)
2017,40,21,19,52.5%,46-40,53.5%,406-360,53.0%,0-4,0.0%,0,,,,,,,,,,,,W (Hammamet $15K)
2016,31,15,16,48.4%,32-35,47.8%,286-300,48.8%,2-1,66.7%,0,,,,,,,,,,,,QF (5x)
2015,13,5,8,38.5%,14-19,42.4%,144-169,46.0%,1-2,33.3%,0,,,,,,,,,,,,QF (Tweed Heads 15K)
2014,6,0,6,0.0%,0-12,0.0%,35-73,32.4%,0-1,0.0%,0,,,,,,,,,,,,R32 (6x)
2013,3,0,3,0.0%,1-6,14.3%,33-41,44.6%,0-1,0.0%,0,,,,,,,,,,,,R32 (3x)
2012,4,1,3,25.0%,3-7,30.0%,36-52,40.9%,0-0,-,0,,,,,,,,,,,,R16 (Rockhampton 25K)
Career,364,174,190,47.8%,398-437,47.7%,3803-3893,49.4%,35-40,46.7%,55,61.8%,39.0%,3.5%,3.7%,65.2%,60.2%,47.4%,55.8%,45.2%,50.4%,1.02,
