Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Indian Wells Masters QF,L vs Sinner,18,31,0.6,18.6%,32.0%,14,26,0.5,18.2%,33.8%,5.2%,5.2%,2.1,25.8%,12.4%
2026 Australian Open QF,L vs Zverev,53,51,1.0,20.2%,19.4%,42,42,1.0,19.4%,19.4%,14.3%,5.1%,1.8,22.1%,12.2%
2026 Australian Open R16,W vs Medvedev,31,20,1.6,20.3%,13.1%,26,19,1.4,19.3%,14.1%,14.1%,5.2%,0.4,9.8%,23.5%
2026 Australian Open R32,W vs Borges,30,34,0.9,15.3%,17.3%,22,29,0.8,12.8%,16.9%,7.0%,5.8%,0.6,12.2%,21.4%
2026 Australian Open R64,W vs Shevchenko,40,30,1.3,21.5%,16.1%,31,28,1.1,18.2%,16.5%,10.0%,8.2%,0.5,10.8%,21.0%
2026 Australian Open R128,W vs Giron,66,62,1.1,19.5%,18.3%,45,52,0.9,15.5%,17.9%,9.6%,5.8%,0.7,13.6%,20.1%
2026 Brisbane R32,W vs Ugo Carabelli,21,27,0.8,16.5%,21.3%,20,25,0.8,16.8%,21.0%,11.8%,5.0%,0.6,11.0%,19.7%
2025 Next Gen Finals F,W vs Blockx,10,11,0.9,10.0%,11.0%,9,10,0.9,10.0%,11.1%,7.8%,1.1%,0.8,19.0%,23.0%
2025 Next Gen Finals SF,W vs Basavareddy,26,17,1.5,26.0%,17.0%,20,15,1.3,23.3%,17.4%,14.0%,9.3%,0.5,10.0%,20.0%
2025 Next Gen Finals RR,L vs Jodar,21,36,0.6,12.0%,20.6%,17,31,0.5,10.6%,19.3%,6.2%,3.7%,0.5,13.7%,25.1%
2025 Metz F,W vs Norrie,25,34,0.7,12.7%,17.3%,18,33,0.5,9.7%,17.8%,4.3%,4.9%,0.9,13.2%,15.2%
2025 Metz R16,W vs Echargui,31,30,1.0,21.4%,20.7%,25,26,1.0,19.7%,20.5%,11.8%,5.5%,0.9,15.2%,16.6%
2025 Shanghai Masters R16,L vs Medvedev,26,31,0.8,11.6%,13.8%,24,28,0.9,12.1%,14.1%,8.0%,4.0%,0.8,17.3%,23.1%
2025 Beijing F,L vs Sinner,11,21,0.5,11.5%,21.9%,11,15,0.7,13.9%,19.0%,10.1%,3.8%,1.5,25.0%,16.7%
2025 US Open R128,L vs Djokovic,16,39,0.4,8.7%,21.3%,15,32,0.5,9.1%,19.5%,6.7%,2.4%,1.0,14.2%,14.8%
2025 Mallorca R16,W vs Shelton,23,19,1.2,15.5%,12.8%,16,12,1.3,13.2%,9.9%,10.7%,2.5%,0.9,14.2%,16.2%
2025 Miami Masters R128,L vs Fonseca,52,36,1.4,25.1%,17.4%,42,33,1.3,23.2%,18.2%,8.8%,3.3%,1.9,27.1%,14.0%
2025 Acapulco R16,W vs Zverev,15,16,0.9,12.8%,13.7%,11,16,0.7,10.3%,15.0%,5.6%,4.7%,0.8,17.9%,23.1%
2025 Australian Open R32,W vs Moutet,30,45,0.7,14.0%,21.0%,29,40,0.7,14.3%,19.7%,9.4%,4.9%,0.7,15.0%,20.1%
2025 Australian Open R64,W vs Medvedev,52,74,0.7,14.1%,20.0%,45,70,0.6,13.6%,21.2%,10.6%,3.0%,0.7,14.9%,20.0%
Career (32 matches),,826,941,0.9,15.0%,17.1%,662,830,0.8,13.6%,17.1%,9.0%,3.8%,0.9,16.5%,18.7%
