Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,74,47,27,63.5%,103-80,56.3%,912-883,50.8%,25-11,69.4%,74,77.6%,24.2%,6.2%,4.6%,62.4%,69.4%,51.5%,62.7%,37.8%,50.4%,1.01
Clay,7,1,6,14.3%,4-13,23.5%,70-94,42.7%,1-1,50.0%,7,71.6%,13.6%,3.0%,4.5%,58.3%,66.6%,50.7%,59.9%,32.1%,46.5%,0.80
Grass,7,4,3,57.1%,8-8,50.0%,80-86,48.2%,3-2,60.0%,7,81.5%,13.8%,7.9%,6.1%,59.7%,72.9%,50.2%,63.8%,31.9%,48.8%,0.88
Grand Slams,16,8,8,50.0%,28-31,47.5%,269-294,47.8%,9-3,75.0%,16,72.6%,23.0%,5.5%,5.1%,61.9%,67.7%,46.4%,59.6%,36.8%,48.4%,0.91
Masters,22,12,10,54.5%,28-24,53.8%,268-271,49.7%,11-3,78.6%,22,79.5%,18.3%,6.4%,6.0%,58.6%,71.4%,53.2%,63.8%,36.0%,50.2%,1.00
Other Tours,40,25,15,62.5%,51-41,55.4%,478-454,51.3%,9-8,52.9%,40,78.5%,24.1%,6.2%,4.3%,62.7%,68.8%,52.5%,62.7%,38.0%,50.5%,1.02
Best of 5,26,15,11,57.7%,36-36,50.0%,316-338,48.3%,9-3,75.0%,26,74.7%,23.8%,5.7%,4.3%,63.4%,69.0%,48.4%,61.5%,36.4%,49.2%,0.95
Best of 3,62,37,25,59.7%,79-65,54.9%,746-725,50.7%,20-11,64.5%,62,78.9%,22.0%,6.3%,4.9%,61.1%,69.7%,52.8%,63.1%,37.3%,50.4%,1.01
Finals,4,2,2,50.0%,3-4,42.9%,27-34,44.3%,1-0,100.0%,4,79.1%,11.9%,4.3%,3.2%,63.9%,70.9%,48.5%,62.9%,29.4%,47.2%,0.79
Semi-finals,5,4,1,80.0%,5-3,62.5%,41-36,53.2%,0-0,-,5,79.7%,34.5%,6.1%,2.8%,61.2%,67.4%,57.9%,63.7%,42.3%,53.0%,1.16
Quarter-finals,9,3,6,33.3%,7-16,30.4%,99-130,43.2%,2-2,50.0%,9,71.1%,17.5%,6.2%,4.6%,64.5%,65.3%,47.5%,59.0%,34.0%,46.8%,0.83
vs Righties,73,40,33,54.8%,91-91,50.0%,870-897,49.2%,21-13,61.8%,73,76.9%,21.7%,6.0%,4.5%,62.1%,68.6%,51.7%,62.2%,36.4%,49.6%,0.96
vs Lefties,12,10,2,83.3%,20-8,71.4%,161-141,53.3%,8-1,88.9%,12,79.5%,25.2%,6.3%,5.7%,61.5%,73.7%,47.6%,63.6%,39.7%,51.6%,1.09
vs Top 10,12,6,6,50.0%,13-20,39.4%,143-181,44.1%,5-3,62.5%,12,71.9%,17.0%,5.5%,5.6%,64.0%,64.8%,47.6%,58.6%,34.5%,47.1%,0.83
