Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Indian Wells QF,L vs Sinner,22.4%,30.6%,39.4%,25.7%,27.6%,34.5%,28.6%,33.1%,40.0%,71.4%,66.7%,20.0%,33.3%,58.3%,47
2026 Australian Open QF,L vs Zverev,24.6%,38.5%,56.2%,34.5%,28.9%,47.0%,62.7%,44.5%,34.5%,53.7%,40.0%,21.1%,28.9%,43.3%,69
2026 Australian Open R16,W vs Medvedev,27.9%,35.3%,58.3%,34.4%,31.8%,40.9%,56.7%,41.8%,43.8%,64.3%,-,21.7%,26.1%,61.1%,-16
2026 Australian Open R32,W vs Borges,35.0%,40.0%,53.3%,40.7%,43.3%,47.8%,52.6%,51.8%,37.9%,36.8%,0.0%,21.4%,28.6%,54.5%,82
2026 Australian Open R64,W vs Shevchenko,23.9%,40.2%,61.8%,33.0%,31.5%,53.7%,73.0%,47.0%,56.0%,65.5%,66.7%,13.9%,22.2%,48.4%,1
2026 Australian Open R128,W vs Giron,29.9%,40.2%,51.0%,35.7%,38.9%,51.6%,53.4%,49.1%,62.2%,58.6%,69.2%,20.7%,29.3%,47.8%,76
2026 Brisbane R32,W vs Ugo Carabelli,21.3%,41.0%,71.7%,30.0%,22.2%,41.7%,75.0%,36.9%,31.3%,60.0%,100.0%,21.7%,43.5%,66.7%,42
2025 NextGen Finals F,W vs Blockx,26.9%,42.3%,73.0%,36.2%,35.3%,52.9%,77.3%,49.4%,66.7%,50.0%,-,11.8%,23.5%,66.7%,4
2025 NextGen Finals SF,W vs Basavareddy,26.0%,46.0%,51.4%,33.2%,36.4%,54.5%,42.9%,47.3%,53.3%,72.2%,100.0%,6.7%,33.3%,64.3%,-53
2025 NextGen Finals RR,L vs Jodar,27.5%,35.0%,52.8%,31.4%,37.5%,47.9%,50.0%,44.0%,36.4%,69.2%,100.0%,14.8%,18.5%,56.5%,19
2025 Metz F,W vs Norrie,30.1%,37.2%,46.2%,35.3%,41.7%,51.4%,54.8%,49.9%,40.0%,69.0%,66.7%,10.0%,12.5%,36.1%,-42
2025 Metz R16,W vs Echargui,30.9%,48.5%,65.1%,41.0%,35.1%,59.5%,79.2%,53.8%,27.8%,52.6%,50.0%,29.6%,40.7%,47.4%,116
2025 Shanghai R16,L vs Medvedev,17.5%,22.8%,56.0%,23.3%,17.1%,25.0%,55.6%,25.8%,34.4%,50.0%,25.0%,20.0%,20.0%,57.1%,40
2025 Beijing F,L vs Sinner,14.0%,23.3%,51.6%,18.8%,18.2%,31.8%,44.4%,27.7%,45.5%,63.6%,100.0%,13.3%,20.0%,61.5%,-13
2025 US Open R128,L vs Djokovic,15.7%,20.2%,41.2%,20.7%,15.8%,22.8%,45.8%,23.5%,24.0%,53.1%,62.5%,20.0%,20.0%,30.0%,54
2025 Mallorca R16,W vs Shelton,40.0%,51.4%,51.4%,44.4%,47.4%,60.5%,55.0%,55.5%,54.5%,63.0%,75.0%,40.0%,52.0%,46.7%,225
2025 Miami R128,L vs Fonseca,28.7%,41.7%,51.4%,35.9%,33.8%,51.5%,55.6%,45.3%,16.1%,54.1%,50.0%,21.6%,27.0%,44.8%,34
2025 Acapulco R16,W vs Zverev,19.0%,29.3%,59.6%,25.3%,24.4%,36.6%,61.3%,33.4%,35.3%,37.5%,-,5.9%,11.8%,56.3%,-79
2025 Australian Open R32,W vs Moutet,15.9%,25.2%,61.2%,23.9%,21.4%,28.6%,65.9%,36.8%,13.3%,57.7%,66.7%,10.9%,23.9%,56.1%,-10
2025 Australian Open R64,W vs Medvedev,12.4%,19.8%,50.6%,17.1%,15.5%,23.9%,53.3%,22.3%,39.3%,51.9%,46.7%,5.5%,10.9%,44.2%,-62
Career (30 matches),,24.3%,34.4%,54.2%,30.6%,29.7%,41.8%,56.3%,39.7%,37.2%,55.8%,60.2%,16.8%,24.3%,50.6%,47
