Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2018 Wimbledon R64,L vs Querrey,110.9,117.2,5.1,119.6,115.0,125,96,97.3,8.0,103.5,102.0,109,83
2017 Wimbledon R64,L vs Nishikori,109.8,116.9,4.4,118.5,115.5,125,105,100.4,5.7,103.8,96.2,112,88
2017 Roland Garros R64,L vs Goffin,105.4,112.4,9.3,,,123,82,93.6,4.6,,,105,86
2016 US Open R64,L vs Cilic,107.0,115.9,9.3,118.5,110.6,125,89,94.6,8.4,95.6,88.0,111,81
2016 Wimbledon R64,L vs Cilic,111.8,119.7,4.5,120.3,118.6,126,105,99.9,8.4,106.1,101.4,116,82
2016 Australian Open R128,L vs Goffin,105.3,112.3,10.0,,,126,79,95.9,7.5,,,110,78
2015 US Open R32,L vs Tsonga,107.5,115.2,8.7,,,128,84,94.1,8.0,,,124,81
2015 Australian Open R64,L vs Ferrer,109.3,114.6,8.4,,,125,64,97.8,8.6,,,111,82
2014 Wimbledon R32,L vs Chardy,111.3,115.1,5.6,,,123,88,102.3,7.3,,,115,84
2014 Wimbledon R64,W vs Gulbis,108.9,115.6,4.8,,,125,102,97.7,7.5,,,113,78
2013 Wimbledon R32,L vs Melzer,109.0,,,,,122,,,,,,,83
2013 Wimbledon R64,W vs Federer,110.0,,,,,124,,,,,,,81
2013 Roland Garros R128,L vs Gasquet,103.7,,,,,122,,,,,,,82
2012 Wimbledon R128,L vs Stepanek,90.5,,,,,98,,,,,,,79
2012 Roland Garros R64,L vs Haas,104.9,,,,,126,,,,,,,77
2011 US Open R128,L vs Gasquet,103.3,111.1,7.8,,,123,90,86.2,8.0,,,100,62
2011 Roland Garros R32,L vs Ferrer,105.2,114.2,11.6,,,124,64,92.2,8.9,,,110,78
2011 Roland Garros R64,W vs Nishikori,105.2,115.2,8.7,,,129,82,88.6,7.4,,,107,70
2011 Roland Garros R128,W vs Guez,105.0,109.0,11.6,,,123,67,84.4,7.7,,,93,67
2011 Australian Open R32,L vs Robredo,104.9,110.7,9.4,,,123,78,92.4,8.5,,,110,77
Career (21 matches),,107.4,114.3,7.8,119.3,115.8,129,63,95.5,7.5,103.0,97.0,124,62
