Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2022 Australian Open Q1,L vs Wolf,32.8%,49.2%,36.6%,40.3%,46.7%,73.3%,56.3%,62.0%,40.0%,46.7%,0.0%,19.4%,25.8%,24.0%,-79
2020 Montpellier R32,L vs Herbert,26.3%,34.2%,40.4%,32.6%,28.0%,40.0%,41.7%,37.6%,52.0%,28.0%,0.0%,27.3%,27.3%,37.5%,103
2020 Australian Open Q2,L vs Tabilo,16.0%,28.4%,48.5%,26.0%,26.0%,44.0%,62.2%,42.2%,52.0%,40.0%,33.3%,0.0%,3.4%,31.0%,-118
2019 Halle R16,L vs Herbert,46.2%,55.9%,43.8%,51.4%,52.5%,62.3%,37.9%,60.3%,55.6%,61.8%,66.7%,36.7%,46.7%,52.6%,16
2019 Halle R32,W vs Molleker,57.5%,62.1%,46.7%,60.6%,84.0%,90.0%,62.5%,89.4%,52.4%,31.0%,50.0%,26.7%,30.0%,40.9%,120
2019 Taipei CH F,L vs Novak,36.0%,46.0%,37.9%,41.2%,51.7%,65.5%,35.7%,60.7%,53.3%,42.9%,0.0%,16.7%,22.2%,40.0%,39
2019 Taipei CH R32,W vs Robert,49.2%,55.7%,46.2%,50.8%,75.0%,80.6%,22.2%,77.8%,28.6%,40.9%,100.0%,15.0%,25.0%,58.8%,14
2017 Roland Garros R64,L vs Goffin,24.6%,39.6%,44.4%,32.3%,28.9%,49.4%,50.8%,41.3%,39.0%,35.7%,20.0%,18.4%,24.5%,35.0%,-20
2017 Karshi CH R16,W vs Maamoun,51.9%,68.5%,88.0%,60.6%,62.9%,82.9%,92.3%,76.3%,57.9%,50.0%,-,33.3%,44.4%,83.3%,1
2015 Mouilleron Le Captif CH QF,L vs Pouille,17.8%,31.1%,51.4%,26.0%,23.1%,42.3%,55.0%,37.3%,53.8%,53.8%,0.0%,11.8%,17.6%,46.7%,-2
2015 Basel R32,L vs Dimitrov,30.2%,39.7%,53.8%,36.8%,44.7%,60.5%,42.9%,55.8%,47.1%,71.4%,100.0%,10.0%,10.0%,66.7%,-30
2015 Vienna R16,L vs Karlovic,32.8%,48.4%,52.4%,43.4%,38.3%,59.6%,58.6%,52.8%,39.1%,70.8%,66.7%,18.8%,18.8%,38.5%,10
2015 Istanbul CH R16,W vs Langer,23.2%,36.6%,46.9%,29.3%,30.6%,46.8%,48.8%,41.6%,65.5%,45.5%,50.0%,15.6%,26.7%,44.7%,36
2015 Indian Wells R128,W vs Querrey,25.7%,34.3%,51.0%,28.9%,37.1%,42.9%,40.9%,43.4%,61.5%,45.5%,50.0%,15.6%,28.1%,59.3%,-79
2015 Marseille SF,L vs Simon,22.4%,34.3%,52.9%,31.9%,30.0%,50.0%,57.1%,46.0%,50.0%,58.3%,100.0%,11.5%,11.5%,47.8%,-23
2015 Rotterdam R16,W vs Thiem,32.2%,52.5%,59.0%,41.0%,47.5%,67.5%,61.9%,60.5%,33.3%,59.1%,50.0%,0.0%,22.2%,55.6%,-118
2014 Sydney QF,W vs Matosevic,35.4%,40.0%,46.2%,38.6%,44.7%,51.1%,46.2%,49.1%,45.5%,32.0%,100.0%,13.3%,13.3%,46.2%,4
2013 Davis Cup World Group PO RR,L vs Nadal,27.0%,42.7%,32.1%,32.7%,39.1%,58.7%,35.7%,50.2%,38.1%,20.0%,14.3%,17.6%,32.4%,28.6%,35
2013 Wimbledon R64,W vs Federer,31.5%,57.6%,60.4%,42.5%,42.2%,68.8%,58.7%,58.8%,30.4%,63.5%,100.0%,11.1%,37.0%,62.5%,-25
Last 52 Weeks (1 matches),,32.8%,49.2%,36.6%,40.3%,46.7%,73.3%,56.3%,62.0%,40.0%,46.7%,0.0%,19.4%,25.8%,24.0%,-79
Career (20 matches),,32.5%,45.9%,49.3%,39.4%,43.6%,60.0%,51.4%,54.9%,46.1%,47.6%,42.2%,16.9%,26.3%,46.8%,50
