Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Championships,1,Grass,5,5,0,100.0%,0,0,0,-,1958,1958,W,0,,,,,,,,,,
Roland Garros,3,Clay,13,11,2,84.6%,0,0,0,-,1953,1956,W,0,,,,,,,,,,
Wimbledon,13,Grass,50,38,12,76.0%,0,0,0,-,1950,1962,W,0,,,,,,,,,,
US National Championships,5,Grass,15,10,5,66.7%,0,0,0,-,1952,1961,SF,0,,,,,,,,,,
Wightman Cup,6,Clay,10,3,7,30.0%,0,0,0,-,1953,1961,W,0,,,,,,,,,,
Bournemouth,10,Clay,45,39,6,86.7%,0,0,0,-,1951,1962,W,0,,,,,,,,,,
Chingford,8,Clay,35,33,2,94.3%,0,0,0,-,1955,1962,W,0,,,,,,,,,,
Torquay Palace,8,Carpet,30,26,4,86.7%,0,0,0,-,1949,1962,W,0,,,,,,,,,,
Sutton,6,Clay,20,16,4,80.0%,0,0,0,-,1954,1954,W,0,,,,,,,,,,
Bristol,6,Grass,19,14,5,73.7%,0,0,0,-,1949,1958,W,0,,,,,,,,,,
Surbiton,5,Grass,20,17,3,85.0%,0,0,0,-,1952,1962,W,0,,,,,,,,,,
