Date,Tournament,Surface,Rd,,Score
12-Oct-1964,London,Carpet,F,Trish Mcclenaughan / Bob Howe [AUS] d. Mortimer / John Barrett [GBR],W/O
29-Apr-1963,Hurlingham,Clay,F,Caroline Yates Bell / Mike Hann [GBR] d. Mortimer / Roger Taylor [GBR],6-4 6-3
10-May-1961,Wiesbaden,Clay,F,Mortimer / Martin Mulligan [AUS] d. Erika Vollmer [GER] / Istvan Gulyas [HUN],6-4 6-1
03-Apr-1961,Roehampton,Clay,F,Mortimer / John Mcdonald [NZL] d. Honor Clarke [GBR] / Patricio Apey [CHI],6-2 6-4
05-Feb-1961,Helsinki,Carpet,F,Mortimer / Robert Wilson [GBR] d. Deidre Catt / Tony Pickard [GBR],6-2 6-3
27-Jan-1961,Lyon,Carpet,F,Christiane Mercelis [BEL] / Jorgen Ulrich [DEN] d. Mortimer / Billy Knight [GBR],6-2 6-4
24-Jan-1961,Cologne Indoors,Carpet,F,Edda Buding [FRG] / Wilhelm Bungert [GER] d. Mortimer / Laci Legenstein [AUT],6-4 12-10
13-Sep-1960,Bratislava,Clay,F,Vera Sukova / Jiri Javorsky [TCH] d. Mortimer / Bob Howe [AUS],6-2 4-6 8-6
24-Aug-1960,Poertschach,Clay,F,Vera Sukova / Jiri Javorsky [TCH] d. Mortimer / Billy Knight [GBR],6-2 6-1
17-Aug-1960,Kitzbuhel,Clay,F,Mortimer / Billy Knight [GBR] d. Josette Billaz / Pierre Darmon [FRA],7-5 6-0
05-Feb-1960,Paris Indoors,Carpet,F,Ann Jones [GBR] / Manuel Santana [ESP] d. Mortimer / Billy Knight [GBR],6-2 3-6 6-4
31-Jan-1960,Copenhagen,Carpet,F,Mortimer / Billy Knight [GBR] d. Ann Jones / Tony Pickard [GBR],3-6 9-7 9-7
26-Jan-1960,Helsinki,Carpet,F,Ann Jones [GBR] / Nicola Pietrangeli [ITA] d. Mortimer / Jaroslav Drobny [TCH],7-5 6-4
26-Feb-1959,Lyon,Carpet,F,Mortimer / Billy Knight [GBR] d. Marie Odile Bouchet / Jean Claude Molinari [FRA],6-3 6-0
26-Aug-1958,Poertschach,Clay,F,Rosie Reyes [FRA] / Laci Legenstein [AUT] d. Mortimer / Roger Becker [GBR],6-3 6-4
13-Aug-1958,Munich,Clay,F,Mortimer / Robert Haillet [FRA] d. Chiara Ramorino / Giuseppe Merlo [ITA],6-3 6-3
03-Feb-1958,Auckland,,F,Mortimer / Allan Burns [NZL] d. Sonia Cox [NZL] / Bob Mark [AUS],6-3 6-3
16-Jan-1958,Australian Championships,Grass,F,(1) Mary Hawton / Bob Howe [AUS] d. Mortimer / Peter Newman [AUS],9-11 6-1 6-2
06-Jan-1958,Perth,Grass,F,Jill Langley / Clive Wilderspin [AUS] d. Mortimer / Brian Bowman [AUS],6-2 6-2
21-Nov-1957,Adelaide,Grass,F,Mortimer / Bob Howe [AUS] d. Daphne Seeney / Warren Woodcock [AUS],6-1 7-5
