Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2021 US Open R128,L vs Escobedo,105.8,110.0,5.8,112.9,105.4,120,95,95.1,4.9,99.3,87.0,103,87
2019 Roland Garros R32,L vs Thiem,105.5,109.1,9.7,,,128,90,98.1,8.0,,,123,83
2019 Roland Garros R64,W vs Edmund,101.7,106.0,10.3,,,121,86,94.3,7.4,,,105,76
2019 Roland Garros R128,W vs Janvier,105.7,110.8,9.5,,,121,88,97.1,6.1,,,111,83
2017 Roland Garros R32,L vs Verdasco,102.1,109.2,12.8,,,123,64,94.1,7.5,,,104,74
2017 Roland Garros R128,W vs Hamou,100.0,106.2,11.0,,,128,83,89.8,9.9,,,102,63
2016 US Open R64,L vs Almagro,100.3,107.7,10.5,115.2,100.9,125,67,86.1,9.1,92.4,88.5,103,65
2016 Roland Garros R32,L vs Berdych,103.6,110.4,12.3,,,128,84,95.0,8.4,,,109,65
2016 Roland Garros R64,W vs Halys,106.1,114.0,11.9,,,132,88,95.3,8.9,,,111,79
2016 Australian Open R64,L vs Kyrgios,111.1,118.5,6.9,,,127,98,96.0,4.8,,,106,86
2016 Australian Open R128,W vs Nishioka,108.0,115.4,10.0,,,127,61,96.2,3.9,,,105,88
2015 US Open R64,L vs Fognini,106.2,111.6,9.7,,,126,86,93.5,5.8,,,105,79
2015 Roland Garros R32,L vs Monfils,103.6,108.9,13.5,,,131,78,93.2,9.4,,,108,68
2015 Roland Garros R64,W vs Thiem,104.0,110.3,14.8,,,133,75,92.8,9.0,,,108,64
2015 Roland Garros R128,W vs Groth,103.1,106.0,12.2,,,125,80,96.2,6.8,,,105,77
2014 US Open R128,L vs Anderson,107.6,113.0,9.6,,,126,91,100.1,5.1,,,110,87
2014 Roland Garros R64,L vs Verdasco,104.5,110.9,10.7,,,128,85,93.5,6.6,,,105,74
2013 US Open R128,L vs Tipsarevic,108.4,,,,,129,,,,,,,87
2013 Roland Garros R64,L vs Simon,93.9,,,,,128,,,,,,,73
2013 Roland Garros R128,W vs Mannarino,101.7,,,,,126,,,,,,,65
Career (20 matches),,104.2,110.5,11.0,114.5,102.5,133,61,94.5,7.4,94.0,88.0,123,63
