Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2021 Lyon CH F,W vs Ymer,45.2%,45.2%,65.0%,45.2%,58.6%,58.6%,58.3%,58.6%,63.6%,50.0%,-,20.0%,20.0%,75.0%,51
2020 Buenos Aires QF,L vs Schwartzman,20.5%,30.3%,52.7%,25.2%,26.3%,38.2%,60.7%,33.8%,30.3%,34.9%,33.3%,11.9%,19.0%,40.5%,2
2019 US Open R64,L vs Majchrzak,26.1%,36.3%,46.8%,30.3%,34.0%,46.4%,43.8%,40.8%,34.8%,52.9%,50.0%,14.5%,21.8%,51.1%,29
2019 Estoril F,L vs Tsitsipas,18.1%,22.2%,54.4%,22.8%,25.0%,29.5%,54.5%,32.7%,17.4%,90.5%,100.0%,7.7%,11.5%,54.2%,-39
2019 Estoril SF,W vs Davidovich Fokina,18.8%,32.8%,50.0%,26.7%,20.9%,41.9%,61.8%,32.8%,44.4%,92.0%,100.0%,15.8%,15.8%,25.0%,39
2019 Rio de Janeiro SF,L vs Auger Aliassime,35.6%,43.8%,45.7%,37.7%,39.1%,45.7%,53.6%,42.4%,37.5%,86.4%,100.0%,30.8%,42.3%,33.3%,-23
2019 Rio de Janeiro R16,W vs Londero,40.4%,55.3%,66.7%,46.8%,47.1%,64.7%,72.2%,55.9%,26.7%,42.1%,0.0%,25.0%,33.3%,55.6%,37
2019 Cordoba QF,W vs Bedene,30.2%,43.4%,68.6%,39.1%,41.9%,64.5%,83.3%,57.1%,41.7%,78.9%,0.0%,15.0%,15.0%,52.9%,32
2017 Montevideo CH F,W vs Elias,14.3%,27.0%,62.3%,21.1%,23.1%,35.9%,66.7%,34.1%,20.0%,62.5%,0.0%,0.0%,13.0%,56.5%,-118
2017 Kitzbuhel R16,L vs Ofner,35.4%,45.8%,58.2%,42.8%,47.4%,59.6%,63.3%,59.8%,31.8%,42.9%,25.0%,21.9%,31.3%,52.0%,79
2017 Roland Garros R64,W vs Kicker,28.3%,39.1%,49.2%,34.3%,27.8%,46.3%,56.4%,38.1%,44.4%,75.0%,100.0%,31.4%,31.4%,37.5%,40
2017 Madrid SF,L vs Thiem,30.3%,34.2%,49.0%,34.1%,37.3%,39.2%,50.0%,42.9%,8.3%,81.5%,100.0%,19.0%,28.6%,47.1%,58
2017 Madrid QF,W vs Zverev,20.6%,38.1%,66.0%,30.5%,28.9%,55.3%,63.0%,45.3%,50.0%,40.0%,0.0%,9.1%,13.6%,70.0%,-30
2017 Indian Wells R16,W vs Goffin,42.5%,52.5%,57.1%,47.9%,53.7%,63.0%,56.0%,61.7%,46.2%,57.1%,0.0%,22.7%,36.4%,58.8%,93
2017 Sao Paulo F,W vs Ramos,27.7%,35.7%,62.3%,31.3%,39.7%,49.3%,54.5%,45.3%,50.0%,48.8%,66.7%,7.4%,14.8%,76.0%,-62
2017 Sao Paulo QF,W vs Schwartzman,34.7%,46.3%,48.3%,40.9%,46.6%,58.6%,61.3%,56.7%,44.0%,51.5%,60.0%,18.2%,30.3%,33.3%,60
2016 Umag R16,L vs Elias,28.4%,36.8%,59.6%,34.6%,36.7%,51.0%,58.1%,48.8%,27.8%,71.0%,100.0%,25.7%,28.6%,61.5%,97
2016 Hamburg F,L vs Klizan,33.3%,38.5%,32.0%,34.6%,50.0%,55.0%,30.0%,52.5%,62.5%,50.0%,50.0%,16.7%,22.2%,33.3%,1
2016 Hamburg SF,W vs Olivo,20.6%,41.2%,72.5%,29.7%,23.7%,50.0%,72.4%,40.0%,53.3%,52.2%,25.0%,18.5%,33.3%,72.7%,65
2016 Hamburg R32,W vs Mayer,36.0%,50.0%,66.7%,42.4%,48.1%,63.0%,78.6%,60.0%,22.2%,66.7%,-,23.8%,38.1%,56.3%,53
Career (39 matches),,28.9%,39.8%,56.0%,34.6%,37.0%,50.2%,57.8%,46.2%,39.4%,58.0%,55.2%,18.0%,26.0%,53.6%,60
