Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,6,2,4,33.3%,5-8,38.5%,53-66,44.5%,0-2,0.0%,6,65.6%,23.7%,4.3%,4.9%,59.2%,62.6%,52.3%,58.4%,40.6%,48.8%,0.97,R16 (2x)
2022,12,8,4,66.7%,18-12,60.0%,147-121,54.9%,0-1,0.0%,12,76.3%,34.6%,5.6%,4.7%,61.2%,70.6%,49.5%,62.4%,43.4%,52.7%,1.15,SF (Santa Cruz De La Sierra)
2021,15,11,4,73.3%,23-7,76.7%,167-123,57.6%,3-1,75.0%,15,79.3%,33.8%,5.8%,3.9%,65.2%,69.8%,52.7%,63.9%,42.8%,52.9%,1.18,W (Lyon)
2020,3,2,1,66.7%,4-2,66.7%,32-25,56.1%,0-0,-,3,82.1%,31.0%,4.2%,4.8%,60.2%,76.0%,50.0%,65.7%,43.2%,53.4%,1.26,QF (Aix En Provence)
2019,12,11,1,91.7%,22-5,81.5%,160-108,59.7%,3-1,75.0%,12,77.9%,41.4%,3.8%,3.3%,62.1%,70.6%,52.0%,63.5%,45.8%,54.5%,1.26,W (2x)
2018,14,6,8,42.9%,14-18,43.8%,159-158,50.2%,2-5,28.6%,14,78.2%,22.7%,6.7%,5.0%,56.8%,69.8%,53.8%,62.8%,38.7%,50.6%,1.04,QF (3x)
2017,5,5,0,100.0%,10-2,83.3%,67-42,61.5%,0-0,-,5,83.0%,41.1%,4.4%,1.5%,61.5%,70.3%,54.2%,64.1%,46.4%,55.0%,1.29,W (Montevideo)
2015,4,3,1,75.0%,6-4,60.0%,48-43,52.7%,0-0,-,4,77.8%,28.3%,4.6%,2.9%,54.3%,69.7%,50.8%,61.1%,41.0%,50.6%,1.05,SF (Montevideo)
2014,35,30,5,85.7%,59-18,76.6%,428-284,60.1%,3-3,50.0%,34,81.3%,39.1%,6.2%,4.1%,58.0%,73.6%,54.0%,65.4%,44.9%,54.9%,1.30,W (4x)
2013,14,11,3,78.6%,21-10,67.7%,161-133,54.8%,4-0,100.0%,13,78.2%,29.4%,4.3%,3.8%,58.0%,71.9%,49.6%,62.6%,41.1%,52.2%,1.10,W (Buenos Aires)
2010,21,17,4,81.0%,33-14,70.2%,256-184,58.2%,2-3,40.0%,21,84.5%,32.9%,4.9%,1.9%,63.6%,73.2%,59.1%,68.0%,43.6%,54.9%,1.37,W (Szczecin)
2009,28,17,11,60.7%,36-27,57.1%,318-285,52.7%,3-3,50.0%,0,,,,,,,,,,,,W (2x)
2008,18,9,9,50.0%,20-19,51.3%,197-172,53.4%,0-4,0.0%,0,,,,,,,,,,,,SF (2x)
2007,51,34,17,66.7%,69-47,59.5%,598-540,52.5%,14-9,60.9%,0,,,,,,,,,,,,W (3x)
2006,36,19,17,52.8%,44-39,53.0%,414-374,52.5%,2-7,22.2%,0,,,,,,,,,,,,F (Naples)
2005,4,2,2,50.0%,5-5,50.0%,47-47,50.0%,1-1,50.0%,0,,,,,,,,,,,,QF (Quito)
Career,278,187,91,67.3%,389-237,62.1%,3252-2705,54.6%,37-40,48.1%,139,79.5%,33.7%,5.3%,3.7%,60.2%,71.4%,53.2%,64.1%,43.1%,53.3%,1.20,
