Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2021 Lyon CH F,W vs Ymer,79.7%,59.6%,0.0%,0/0,2.10,6.3%,67.6%,56.5%,0.0%,2.17,12.5%,100.0%,62.5%,0.0%,2.00,0.0%
2020 Buenos Aires QF,L vs Schwartzman,88.7%,44.4%,1.4%,2/0,1.99,9.7%,89.7%,41.7%,0.0%,2.06,14.3%,93.8%,53.3%,6.3%,1.88,2.7%
2019 US Open R64,L vs Majchrzak,61.2%,44.3%,3.1%,4/0,2.41,0.9%,61.3%,49.0%,2.5%,2.38,1.6%,71.4%,36.7%,4.8%,2.47,0.0%
2019 Estoril F,L vs Tsitsipas,70.0%,46.4%,0.0%,0/0,2.12,1.8%,61.8%,47.1%,0.0%,2.17,3.0%,95.7%,45.5%,0.0%,2.06,0.0%
2019 Estoril SF,W vs Davidovich Fokina,83.7%,54.9%,2.0%,1/1,2.31,4.3%,84.5%,51.7%,2.8%,2.38,3.2%,95.7%,63.6%,0.0%,2.16,6.3%
2019 Rio de Janeiro SF,L vs Auger Aliassime,57.5%,46.0%,2.3%,1/1,2.32,13.0%,60.0%,43.6%,0.0%,2.48,21.4%,73.3%,54.5%,13.3%,2.06,0.0%
2019 Rio de Janeiro R16,W vs Londero,62.0%,54.8%,2.0%,0/1,2.17,3.8%,50.0%,58.3%,4.2%,2.11,5.9%,82.6%,52.6%,0.0%,2.28,0.0%
2019 Cordoba QF,W vs Bedene,68.0%,60.8%,1.3%,1/0,2.32,5.7%,57.5%,56.5%,0.0%,2.12,11.1%,90.3%,64.3%,3.2%,2.53,0.0%
2017 Montevideo CH F,W vs Elias,74.1%,60.0%,3.7%,1/1,2.51,9.4%,62.5%,45.0%,3.1%,2.45,16.7%,95.2%,75.0%,4.8%,2.59,0.0%
2017 Kitzbuhel R16,L vs Ofner,65.1%,41.1%,2.3%,0/2,2.15,20.0%,53.8%,33.3%,5.1%,2.25,36.7%,77.8%,45.7%,0.0%,2.04,0.0%
2017 Roland Garros R64,W vs Kicker,68.8%,50.9%,2.5%,1/1,2.25,6.5%,65.4%,52.9%,3.8%,2.22,10.5%,87.5%,47.6%,0.0%,2.31,0.0%
2017 Madrid SF,L vs Thiem,57.7%,40.0%,1.9%,0/1,2.53,22.4%,55.3%,28.6%,2.6%,2.55,31.3%,64.3%,66.7%,0.0%,2.50,5.9%
2017 Madrid QF,W vs Zverev,61.0%,53.2%,2.6%,1/1,2.28,8.5%,54.7%,44.8%,1.9%,2.02,14.8%,90.0%,66.7%,5.0%,2.63,0.0%
2017 Indian Wells R16,W vs Goffin,65.8%,43.8%,2.7%,1/1,2.60,9.5%,62.2%,35.7%,0.0%,2.78,12.0%,80.0%,55.0%,8.0%,2.32,5.9%
2017 Sao Paulo F,W vs Ramos,74.4%,46.0%,0.0%,0/0,2.40,13.0%,70.8%,47.1%,0.0%,2.44,15.9%,85.7%,44.4%,0.0%,2.32,8.0%
2017 Sao Paulo QF,W vs Schwartzman,73.5%,50.0%,1.0%,0/1,2.28,5.2%,71.9%,50.0%,1.6%,2.23,9.7%,83.9%,50.0%,0.0%,2.33,0.0%
2016 Umag R16,L vs Elias,67.7%,52.2%,7.1%,3/4,2.42,25.0%,59.6%,47.1%,8.8%,2.23,33.3%,78.6%,57.6%,4.8%,2.65,15.4%
2016 Hamburg F,L vs Klizan,68.6%,40.0%,2.0%,1/0,1.86,12.0%,59.5%,27.3%,2.7%,1.95,30.0%,92.9%,61.5%,0.0%,1.80,0.0%
2016 Hamburg SF,W vs Olivo,72.4%,43.6%,0.0%,0/0,2.27,23.5%,72.1%,48.4%,0.0%,2.33,31.0%,85.7%,37.5%,0.0%,2.20,13.6%
2016 Hamburg R32,W vs Mayer,73.4%,62.1%,1.3%,1/0,2.02,31.0%,67.9%,44.4%,1.9%,2.04,46.2%,84.6%,90.9%,0.0%,2.00,18.8%
Career (39 matches),,68.4%,48.9%,2.2%,49.3%,2.29,16.1%,64.1%,46.1%,1.9%,2.27,21.8%,84.0%,52.9%,2.9%,2.33,8.4%
